pair_id,sigma_bin,target_sigma,actual_sigma,timestep_index,E_policy_winner,E_policy_loser,Delta_policy,E_ref_winner,E_ref_loser,Delta_ref,reference_relative_margin
protocol_v1_B_008_prefix5_anchored_95981b8f74bed0_background_drift_stageA_final,0.05-0.20,0.125,0.9471819996833801,358,0.08249226957559586,0.11750902235507965,0.035016752779483795,0.08249226957559586,0.11750902235507965,0.035016752779483795,0.0
protocol_v1_B_008_prefix5_anchored_95981b8f74bed0_background_drift_stageA_final,0.20-0.50,0.35,0.9471819996833801,358,0.07701922208070755,0.137019082903862,0.05999986082315445,0.07701922208070755,0.137019082903862,0.05999986082315445,0.0
protocol_v1_B_008_prefix5_anchored_95981b8f74bed0_background_drift_stageA_final,0.50-0.80,0.65,0.9471819996833801,358,0.07932806760072708,0.1197512298822403,0.040423162281513214,0.07932806760072708,0.1197512298822403,0.040423162281513214,0.0
protocol_v1_B_008_prefix5_anchored_95981b8f74bed0_background_drift_stageA_final,0.80-0.95,0.875,0.9471819996833801,358,0.09090401977300644,0.12341000884771347,0.03250598907470703,0.09090401977300644,0.12341000884771347,0.03250598907470703,0.0
protocol_v1_B_001_prefix5_anchored_1128e39109fc83_object_deformation_stageA_final,0.05-0.20,0.125,0.9471819996833801,358,0.06801445782184601,0.11415823549032211,0.046143777668476105,0.06801445782184601,0.11415823549032211,0.046143777668476105,0.0
protocol_v1_B_001_prefix5_anchored_1128e39109fc83_object_deformation_stageA_final,0.20-0.50,0.35,0.9471819996833801,358,0.06894908845424652,0.09712804108858109,0.028178952634334564,0.06894908845424652,0.09712804108858109,0.028178952634334564,0.0
protocol_v1_B_001_prefix5_anchored_1128e39109fc83_object_deformation_stageA_final,0.50-0.80,0.65,0.9471819996833801,358,0.07528670132160187,0.10858852416276932,0.03330182284116745,0.07528670132160187,0.10858852416276932,0.03330182284116745,0.0
protocol_v1_B_001_prefix5_anchored_1128e39109fc83_object_deformation_stageA_final,0.80-0.95,0.875,0.9471819996833801,358,0.06134743615984917,0.12263110280036926,0.061283666640520096,0.06134743615984917,0.12263110280036926,0.061283666640520096,0.0
protocol_v1_B_006_prefix5_anchored_525c18bc4422f0_background_drift_stageA_final,0.05-0.20,0.125,0.9471819996833801,358,0.06505729258060455,0.12528008222579956,0.06022278964519501,0.06505729258060455,0.12528008222579956,0.06022278964519501,0.0
protocol_v1_B_006_prefix5_anchored_525c18bc4422f0_background_drift_stageA_final,0.20-0.50,0.35,0.9471819996833801,358,0.06867927312850952,0.11789462715387344,0.04921535402536392,0.06867927312850952,0.11789462715387344,0.04921535402536392,0.0
protocol_v1_B_006_prefix5_anchored_525c18bc4422f0_background_drift_stageA_final,0.50-0.80,0.65,0.9471819996833801,358,0.06470458209514618,0.1115134134888649,0.04680883139371872,0.06470458209514618,0.1115134134888649,0.04680883139371872,0.0
protocol_v1_B_006_prefix5_anchored_525c18bc4422f0_background_drift_stageA_final,0.80-0.95,0.875,0.9471819996833801,358,0.058599215000867844,0.10748065263032913,0.04888143762946129,0.058599215000867844,0.10748065263032913,0.04888143762946129,0.0
protocol_v1_B_015_prefix5_anchored_ede413792fce8b_nonrigid_background_warp_stageA_final,0.05-0.20,0.125,0.9471819996833801,358,0.05512932687997818,0.1085750088095665,0.05344568192958832,0.05512932687997818,0.1085750088095665,0.05344568192958832,0.0
protocol_v1_B_015_prefix5_anchored_ede413792fce8b_nonrigid_background_warp_stageA_final,0.20-0.50,0.35,0.9471819996833801,358,0.060222793370485306,0.10360771417617798,0.04338492080569267,0.060222793370485306,0.10360771417617798,0.04338492080569267,0.0
protocol_v1_B_015_prefix5_anchored_ede413792fce8b_nonrigid_background_warp_stageA_final,0.50-0.80,0.65,0.9471819996833801,358,0.059289973229169846,0.09884347021579742,0.03955349698662758,0.059289973229169846,0.09884347021579742,0.03955349698662758,0.0
protocol_v1_B_015_prefix5_anchored_ede413792fce8b_nonrigid_background_warp_stageA_final,0.80-0.95,0.875,0.9471819996833801,358,0.06044897437095642,0.10331748425960541,0.04286850988864899,0.06044897437095642,0.10331748425960541,0.04286850988864899,0.0
protocol_v1_A_030_02222_collision_orbit_right_64_seed41222_wrong_camera_motion_local,0.05-0.20,0.125,0.9471819996833801,358,0.07837490737438202,0.08982928097248077,0.011454373598098755,0.07837490737438202,0.08982928097248077,0.011454373598098755,0.0
protocol_v1_A_030_02222_collision_orbit_right_64_seed41222_wrong_camera_motion_local,0.20-0.50,0.35,0.9471819996833801,358,0.07906024903059006,0.09142154455184937,0.012361295521259308,0.07906024903059006,0.09142154455184937,0.012361295521259308,0.0
protocol_v1_A_030_02222_collision_orbit_right_64_seed41222_wrong_camera_motion_local,0.50-0.80,0.65,0.9471819996833801,358,0.07715180516242981,0.09355655312538147,0.01640474796295166,0.07715180516242981,0.09355655312538147,0.01640474796295166,0.0
protocol_v1_A_030_02222_collision_orbit_right_64_seed41222_wrong_camera_motion_local,0.80-0.95,0.875,0.9471819996833801,358,0.0780133530497551,0.09630425274372101,0.018290899693965912,0.0780133530497551,0.09630425274372101,0.018290899693965912,0.0
protocol_v1_A_032_02222_collision_orbit_right_64_seed41222_object_identity_change_local,0.05-0.20,0.125,0.9471819996833801,358,0.07936964929103851,0.08533267676830292,0.005963027477264404,0.07936964929103851,0.08533267676830292,0.005963027477264404,0.0
protocol_v1_A_032_02222_collision_orbit_right_64_seed41222_object_identity_change_local,0.20-0.50,0.35,0.9471819996833801,358,0.07287170737981796,0.08994734287261963,0.017075635492801666,0.07287170737981796,0.08994734287261963,0.017075635492801666,0.0
protocol_v1_A_032_02222_collision_orbit_right_64_seed41222_object_identity_change_local,0.50-0.80,0.65,0.9471819996833801,358,0.08047926425933838,0.09053514152765274,0.010055877268314362,0.08047926425933838,0.09053514152765274,0.010055877268314362,0.0
protocol_v1_A_032_02222_collision_orbit_right_64_seed41222_object_identity_change_local,0.80-0.95,0.875,0.9471819996833801,358,0.07244591414928436,0.07988878339529037,0.007442869246006012,0.07244591414928436,0.07988878339529037,0.007442869246006012,0.0
protocol_v1_A_013_02202_collision_orbit_right_64_seed41202_partial_freeze,0.05-0.20,0.125,0.9471819996833801,358,0.07347101718187332,0.08919975906610489,0.015728741884231567,0.07347101718187332,0.08919975906610489,0.015728741884231567,0.0
protocol_v1_A_013_02202_collision_orbit_right_64_seed41202_partial_freeze,0.20-0.50,0.35,0.9471819996833801,358,0.07866009324789047,0.08693787455558777,0.008277781307697296,0.07866009324789047,0.08693787455558777,0.008277781307697296,0.0
protocol_v1_A_013_02202_collision_orbit_right_64_seed41202_partial_freeze,0.50-0.80,0.65,0.9471819996833801,358,0.06417487561702728,0.09095405042171478,0.0267791748046875,0.06417487561702728,0.09095405042171478,0.0267791748046875,0.0
protocol_v1_A_013_02202_collision_orbit_right_64_seed41202_partial_freeze,0.80-0.95,0.875,0.9471819996833801,358,0.06990151852369308,0.08285191655158997,0.012950398027896881,0.06990151852369308,0.08285191655158997,0.012950398027896881,0.0
protocol_v1_A_023_02222_collision_orbit_right_64_seed41222_wrong_camera_motion_local,0.05-0.20,0.125,0.9471819996833801,358,0.07461941242218018,0.0917314812541008,0.017112068831920624,0.07461941242218018,0.0917314812541008,0.017112068831920624,0.0
protocol_v1_A_023_02222_collision_orbit_right_64_seed41222_wrong_camera_motion_local,0.20-0.50,0.35,0.9471819996833801,358,0.07715180516242981,0.09355655312538147,0.01640474796295166,0.07715180516242981,0.09355655312538147,0.01640474796295166,0.0
protocol_v1_A_023_02222_collision_orbit_right_64_seed41222_wrong_camera_motion_local,0.50-0.80,0.65,0.9471819996833801,358,0.07565076649188995,0.09325804561376572,0.017607279121875763,0.07565076649188995,0.09325804561376572,0.017607279121875763,0.0
protocol_v1_A_023_02222_collision_orbit_right_64_seed41222_wrong_camera_motion_local,0.80-0.95,0.875,0.9471819996833801,358,0.07651229202747345,0.08767786622047424,0.011165574193000793,0.07651229202747345,0.08767786622047424,0.011165574193000793,0.0
