pair_id,pair_type,beta,Delta_policy,Delta_ref,u,sigmoid_beta_u,gradient_scale,near_zero,saturated
protocol_v1_A_007_02200_collision_orbit_right_64_seed41200_physical_event_local_failure,local_corruption,1.0,0.00939827412366867,0.00939827412366867,0.0,0.5,0.5,True,False
protocol_v1_A_007_02200_collision_orbit_right_64_seed41200_physical_event_local_failure,local_corruption,2.0,0.00939827412366867,0.00939827412366867,0.0,0.5,1.0,True,False
protocol_v1_A_007_02200_collision_orbit_right_64_seed41200_physical_event_local_failure,local_corruption,5.0,0.00939827412366867,0.00939827412366867,0.0,0.5,2.5,True,False
protocol_v1_A_007_02200_collision_orbit_right_64_seed41200_physical_event_local_failure,local_corruption,10.0,0.00939827412366867,0.00939827412366867,0.0,0.5,5.0,True,False
protocol_v1_A_008_02200_collision_orbit_right_64_seed41200_background_drift_local,local_corruption,0.05,0.013886384665966034,0.013886384665966034,0.0,0.5,0.025,True,False
protocol_v1_A_008_02200_collision_orbit_right_64_seed41200_background_drift_local,local_corruption,0.1,0.013886384665966034,0.013886384665966034,0.0,0.5,0.05,True,False
protocol_v1_A_008_02200_collision_orbit_right_64_seed41200_background_drift_local,local_corruption,0.2,0.013886384665966034,0.013886384665966034,0.0,0.5,0.1,True,False
protocol_v1_A_008_02200_collision_orbit_right_64_seed41200_background_drift_local,local_corruption,0.5,0.013886384665966034,0.013886384665966034,0.0,0.5,0.25,True,False
protocol_v1_A_008_02200_collision_orbit_right_64_seed41200_background_drift_local,local_corruption,1.0,0.013886384665966034,0.013886384665966034,0.0,0.5,0.5,True,False
protocol_v1_A_008_02200_collision_orbit_right_64_seed41200_background_drift_local,local_corruption,2.0,0.013886384665966034,0.013886384665966034,0.0,0.5,1.0,True,False
protocol_v1_A_008_02200_collision_orbit_right_64_seed41200_background_drift_local,local_corruption,5.0,0.013886384665966034,0.013886384665966034,0.0,0.5,2.5,True,False
protocol_v1_A_008_02200_collision_orbit_right_64_seed41200_background_drift_local,local_corruption,10.0,0.013886384665966034,0.013886384665966034,0.0,0.5,5.0,True,False
