scope,rows,first_energy,last_energy,mean_winner_improvement,last_winner_improvement,positive_winner_ratio,mean_grad_norm,trainable_params,target_groups
L0_camera_r4,10,0.11727020144462585,0.06133153662085533,0.0003309031948447227,5.747005343437195e-05,0.8,0.02477373751993567,6553600.0,camera_conditioning
L1_camera_r8,10,0.13987566530704498,0.008261267095804214,-0.0002281450666487217,3.1585805118083954e-05,0.3,0.031513150249884506,13107200.0,camera_conditioning
L2_camera_self_r4,10,0.09789924323558807,0.005525950342416763,0.00028736512176692487,-2.641696482896805e-06,0.5,0.037392989506226645,1638400.0,"camera_conditioning,self_attention"
L3_camera_cross_r4,10,0.05648151412606239,0.08620235323905945,-4.2916461825370786e-05,-0.00010151416063308716,0.3,0.019179991236817507,1638400.0,"camera_conditioning,cross_attention"
