sigma_bin,count,mean_Delta_ref,mean_Delta_policy,mean_refrel,mean_actual_sigma,unique_actual_sigma
0.05-0.20,8,0.030635901726782322,0.030635901726782322,0.0,0.9471819996833801,1
0.20-0.50,8,0.029362318571656942,0.029362318571656942,0.0,0.9471819996833801,1
0.50-0.80,8,0.02886679908260703,0.02886679908260703,0.0,0.9471819996833801,1
0.80-0.95,8,0.029423668049275875,0.029423668049275875,0.0,0.9471819996833801,1
