mode,step,pair_id,loss,policy_energy,ref_energy,winner_improvement,loser_degradation,grad_norm,lora_param_norm,update_norm_proxy,timestep_index,sigma,step_time_sec,cuda_memory_gb,target_groups,rank,block_end,policy_trainable_params
winner_only,1,protocol_v1_B_008_prefix5_anchored_95981b8f74bed0_background_drift_stageA_final,0.11727020144462585,0.11727020144462585,0.11727020144462585,0.0,nan,0.030536059103847716,14.603455357336992,1.0073924983089455e-07,193,0.9766427874565125,97.20741558074951,34.90950584411621,camera_conditioning,4,,6553600
winner_only,2,protocol_v1_B_008_prefix5_anchored_95981b8f74bed0_background_drift_stageA_final,0.05491388961672783,0.05491388961672783,0.05500923469662666,9.534507989883423e-05,nan,0.00596448063227185,14.603456431182321,1.0738453291025962e-06,40,0.9958506226539612,96.52126598358154,34.90950584411621,camera_conditioning,4,,6553600
winner_only,3,protocol_v1_B_008_prefix5_anchored_95981b8f74bed0_background_drift_stageA_final,0.14809837937355042,0.14809837937355042,0.1494835615158081,0.0013851821422576904,nan,0.04184818666992989,14.603461720496755,5.289314433554182e-06,248,0.9680741429328918,96.22739028930664,34.90950584411621,camera_conditioning,4,,6553600
winner_only,4,protocol_v1_B_008_prefix5_anchored_95981b8f74bed0_background_drift_stageA_final,0.1822604387998581,0.1822604387998581,0.18310919404029846,0.0008487552404403687,nan,0.035438390415477035,14.603469002655803,7.282159048216386e-06,328,0.9534619450569153,96.48085188865662,34.90950584411621,camera_conditioning,4,,6553600
winner_only,5,protocol_v1_B_008_prefix5_anchored_95981b8f74bed0_background_drift_stageA_final,0.13108126819133759,0.13108126819133759,0.1313791573047638,0.0002978891134262085,nan,0.03058946414687499,14.603477787246979,8.784591175370338e-06,293,0.9602064490318298,96.50209498405457,34.90950584411621,camera_conditioning,4,,6553600
winner_only,6,protocol_v1_B_008_prefix5_anchored_95981b8f74bed0_background_drift_stageA_final,0.07173609733581543,0.07173609733581543,0.07076267898082733,-0.0009734183549880981,nan,0.029473386282098883,14.603486604113122,8.816866143845914e-06,109,0.9879143834114075,96.67005968093872,34.90950584411621,camera_conditioning,4,,6553600
winner_only,7,protocol_v1_B_008_prefix5_anchored_95981b8f74bed0_background_drift_stageA_final,0.017509175464510918,0.017509175464510918,0.017547234892845154,3.8059428334236145e-05,nan,0.002806853431404524,14.60349475648862,8.152375498227116e-06,13,0.9986846446990967,96.27890348434448,34.90950584411621,camera_conditioning,4,,6553600
winner_only,8,protocol_v1_B_008_prefix5_anchored_95981b8f74bed0_background_drift_stageA_final,0.13719770312309265,0.13719770312309265,0.13734421133995056,0.00014650821685791016,nan,0.02380115622416519,14.603503639177358,8.8826887374438e-06,109,0.9879143834114075,96.4050669670105,34.90950584411621,camera_conditioning,4,,6553600
winner_only,9,protocol_v1_B_008_prefix5_anchored_95981b8f74bed0_background_drift_stageA_final,0.17865818738937378,0.17865818738937378,0.18007142841815948,0.0014132410287857056,nan,0.03502218693365817,14.603513347471143,9.708293784882471e-06,347,0.9495419263839722,96.39474034309387,34.90950584411621,camera_conditioning,4,,6553600
winner_only,10,protocol_v1_B_008_prefix5_anchored_95981b8f74bed0_background_drift_stageA_final,0.06133153662085533,0.06133153662085533,0.0613890066742897,5.747005343437195e-05,nan,0.012257211359628447,14.603523042759887,9.695288744282493e-06,43,0.9955268502235413,96.48529028892517,34.90950584411621,camera_conditioning,4,,6553600
