mode,step,pair_id,loss,policy_energy,ref_energy,winner_improvement,loser_degradation,grad_norm,lora_param_norm,update_norm_proxy,timestep_index,sigma,step_time_sec,cuda_memory_gb,target_groups,rank,block_end,policy_trainable_params
winner_only,1,protocol_v1_B_008_prefix5_anchored_95981b8f74bed0_background_drift_stageA_final,0.09789924323558807,0.09789924323558807,0.09789924323558807,0.0,nan,0.02464335715973765,7.302831231940928,5.5046361246979814e-08,156,0.9818519949913025,93.89181923866272,34.83626365661621,"camera_conditioning,self_attention",4,4,1638400
winner_only,2,protocol_v1_B_008_prefix5_anchored_95981b8f74bed0_background_drift_stageA_final,0.08930609375238419,0.08930609375238419,0.08979795128107071,0.0004918575286865234,nan,0.02897975724711023,7.302829812459343,1.4194815847190512e-06,156,0.9818519949913025,92.85934352874756,34.83626365661621,"camera_conditioning,self_attention",4,4,1638400
winner_only,3,protocol_v1_B_008_prefix5_anchored_95981b8f74bed0_background_drift_stageA_final,0.1976599097251892,0.1976599097251892,0.19831447303295135,0.000654563307762146,nan,0.0686231560098801,7.302828513798266,1.2986610773424445e-06,333,0.9524489641189575,92.81458449363708,34.83626365661621,"camera_conditioning,self_attention",4,4,1638400
winner_only,4,protocol_v1_B_008_prefix5_anchored_95981b8f74bed0_background_drift_stageA_final,0.16075462102890015,0.16075462102890015,0.16110169887542725,0.0003470778465270996,nan,0.025714188233774984,7.302826849111059,1.6646872067482832e-06,283,0.9620287418365479,92.91406202316284,34.83626365661621,"camera_conditioning,self_attention",4,4,1638400
winner_only,5,protocol_v1_B_008_prefix5_anchored_95981b8f74bed0_background_drift_stageA_final,0.0850246474146843,0.0850246474146843,0.08480744063854218,-0.00021720677614212036,nan,0.015840774105002075,7.302826061523278,7.875877816587717e-07,136,0.9845032095909119,92.85445785522461,34.83626365661621,"camera_conditioning,self_attention",4,4,1638400
winner_only,6,protocol_v1_B_008_prefix5_anchored_95981b8f74bed0_background_drift_stageA_final,0.025292634963989258,0.025292634963989258,0.025118064135313034,-0.00017457082867622375,nan,0.004074311920153227,7.3028253751444945,6.86378783143482e-07,19,0.9980669617652893,92.81064319610596,34.83626365661621,"camera_conditioning,self_attention",4,4,1638400
winner_only,7,protocol_v1_B_008_prefix5_anchored_95981b8f74bed0_background_drift_stageA_final,0.177173912525177,0.177173912525177,0.17763438820838928,0.0004604756832122803,nan,0.02044734663509097,7.302825047134348,3.2801014615557733e-07,342,0.9505923390388489,93.21508121490479,34.83626365661621,"camera_conditioning,self_attention",4,4,1638400
winner_only,8,protocol_v1_B_008_prefix5_anchored_95981b8f74bed0_background_drift_stageA_final,0.1851973682641983,0.1851973682641983,0.1873796284198761,0.0021822601556777954,nan,0.14322477296233269,7.302825090226335,4.309198686769378e-08,337,0.951629102230072,92.89736247062683,34.83626365661621,"camera_conditioning,self_attention",4,4,1638400
winner_only,9,protocol_v1_B_008_prefix5_anchored_95981b8f74bed0_background_drift_stageA_final,0.09151320159435272,0.09151320159435272,0.09064503759145737,-0.0008681640028953552,nan,0.04181736652139865,7.3028249661367575,1.2408957772436224e-07,78,0.9916110634803772,92.83397173881531,34.83626365661621,"camera_conditioning,self_attention",4,4,1638400
winner_only,10,protocol_v1_B_008_prefix5_anchored_95981b8f74bed0_background_drift_stageA_final,0.005525950342416763,0.005525950342416763,0.0055233086459338665,-2.641696482896805e-06,nan,0.0005648642677858951,7.3028248301559495,1.3598080794707812e-07,4,0.9995985627174377,92.9888014793396,34.83626365661621,"camera_conditioning,self_attention",4,4,1638400
