mode,step,pair_id,loss,policy_energy,ref_energy,winner_improvement,loser_degradation,grad_norm,lora_param_norm,update_norm_proxy,timestep_index,sigma,step_time_sec,cuda_memory_gb,target_groups,rank,block_end,policy_trainable_params
winner_only,1,protocol_v1_B_008_prefix5_anchored_95981b8f74bed0_background_drift_stageA_final,0.1419973075389862,0.1419973075389862,0.1419973075389862,0.0,nan,0.03417126495786027,14.597546063681941,1.0123913440907018e-07,255,0.9669045805931091,97.3425509929657,34.90950584411621,camera_conditioning,4,,6553600
winner_only,2,protocol_v1_B_008_prefix5_anchored_95981b8f74bed0_background_drift_stageA_final,0.1561693251132965,0.1561693251132965,0.15622307360172272,5.3748488426208496e-05,nan,0.026581910925344888,14.597550190123364,4.126441423224492e-06,312,0.9566184878349304,96.60065793991089,34.90950584411621,camera_conditioning,4,,6553600
winner_only,3,protocol_v1_B_008_prefix5_anchored_95981b8f74bed0_background_drift_stageA_final,0.006414121016860008,0.006414121016860008,0.006435316056013107,2.119503915309906e-05,nan,0.0016058309448388878,14.597553384636516,3.194513151782985e-06,5,0.9994977116584778,97.07621598243713,34.90950584411621,camera_conditioning,4,,6553600
winner_only,4,protocol_v1_B_008_prefix5_anchored_95981b8f74bed0_background_drift_stageA_final,0.07032570987939835,0.07032570987939835,0.07021724432706833,-0.00010846555233001709,nan,0.009075280321932415,14.597556873298668,3.4886621520513472e-06,45,0.9953100681304932,96.88416814804077,34.90950584411621,camera_conditioning,4,,6553600
winner_only,5,protocol_v1_B_008_prefix5_anchored_95981b8f74bed0_background_drift_stageA_final,0.1096988245844841,0.1096988245844841,0.10802839696407318,-0.0016704276204109192,nan,0.11604263679326406,14.597558855637946,1.982339277617484e-06,201,0.9754608273506165,96.61628746986389,34.90950584411621,camera_conditioning,4,,6553600
winner_only,6,protocol_v1_B_008_prefix5_anchored_95981b8f74bed0_background_drift_stageA_final,0.1256617307662964,0.1256617307662964,0.12556032836437225,-0.0001014024019241333,nan,0.03611499171794232,14.597563021458233,4.1658202878380735e-06,226,0.9716293811798096,96.41638422012329,34.90950584411621,camera_conditioning,4,,6553600
winner_only,7,protocol_v1_B_008_prefix5_anchored_95981b8f74bed0_background_drift_stageA_final,0.10345546901226044,0.10345546901226044,0.10363675653934479,0.00018128752708435059,nan,0.015058412546517823,14.597568453893256,5.432435022711957e-06,186,0.9776603579521179,96.38097929954529,34.90950584411621,camera_conditioning,4,,6553600
winner_only,8,protocol_v1_B_008_prefix5_anchored_95981b8f74bed0_background_drift_stageA_final,0.128526970744133,0.128526970744133,0.12787969410419464,-0.0006472766399383545,nan,0.03469601214620184,14.597575023474338,6.569581081805609e-06,229,0.971155047416687,96.49898648262024,34.90950584411621,camera_conditioning,4,,6553600
winner_only,9,protocol_v1_B_008_prefix5_anchored_95981b8f74bed0_background_drift_stageA_final,0.12409261614084244,0.12409261614084244,0.12405114620923996,-4.146993160247803e-05,nan,0.02024650642675203,14.597582137834884,7.114360546012222e-06,197,0.9760544896125793,96.32805132865906,34.90950584411621,camera_conditioning,4,,6553600
winner_only,10,protocol_v1_B_008_prefix5_anchored_95981b8f74bed0_background_drift_stageA_final,0.1906714141368866,0.1906714141368866,0.19221535325050354,0.0015439391136169434,nan,0.05556164568718946,14.597589656479125,7.518644240533945e-06,330,0.9530583024024963,96.29561185836792,34.90950584411621,camera_conditioning,4,,6553600
winner_only,11,protocol_v1_B_008_prefix5_anchored_95981b8f74bed0_background_drift_stageA_final,0.13659171760082245,0.13659171760082245,0.13693207502365112,0.0003403574228286743,nan,0.038481228755313686,14.597597194486573,7.5380074484598936e-06,96,0.9894921779632568,96.3690345287323,34.90950584411621,camera_conditioning,4,,6553600
winner_only,12,protocol_v1_B_008_prefix5_anchored_95981b8f74bed0_background_drift_stageA_final,0.0941108912229538,0.0941108912229538,0.09434913098812103,0.00023823976516723633,nan,0.021756941994431515,14.59760483469101,7.640204437109333e-06,69,0.9926431179046631,96.33682179450989,34.90950584411621,camera_conditioning,4,,6553600
winner_only,13,protocol_v1_B_008_prefix5_anchored_95981b8f74bed0_background_drift_stageA_final,0.17404867708683014,0.17404867708683014,0.1737963855266571,-0.00025229156017303467,nan,0.03302184524261613,14.59761373014836,8.895457350277525e-06,333,0.9524489641189575,96.48597979545593,34.90950584411621,camera_conditioning,4,,6553600
winner_only,14,protocol_v1_B_008_prefix5_anchored_95981b8f74bed0_background_drift_stageA_final,0.11121463775634766,0.11121463775634766,0.11242734640836716,0.0012127086520195007,nan,0.04078872013243309,14.597623084361736,9.354213375445397e-06,123,0.9861688613891602,96.559987783432,34.90950584411621,camera_conditioning,4,,6553600
winner_only,15,protocol_v1_B_008_prefix5_anchored_95981b8f74bed0_background_drift_stageA_final,0.1100328117609024,0.1100328117609024,0.1105261743068695,0.000493362545967102,nan,0.01996084501933561,14.597633076616821,9.992255085577995e-06,187,0.9775158762931824,96.32359194755554,34.90950584411621,camera_conditioning,4,,6553600
winner_only,16,protocol_v1_B_008_prefix5_anchored_95981b8f74bed0_background_drift_stageA_final,0.14473024010658264,0.14473024010658264,0.14519146084785461,0.00046122074127197266,nan,0.044230397956234374,14.597643251406208,1.017478938614147e-05,269,0.9645071625709534,96.36614108085632,34.90950584411621,camera_conditioning,4,,6553600
winner_only,17,protocol_v1_B_008_prefix5_anchored_95981b8f74bed0_background_drift_stageA_final,0.16562366485595703,0.16562366485595703,0.16614200174808502,0.0005183368921279907,nan,0.028767751545597766,14.597654409615165,1.1158208957695592e-05,338,0.9514228105545044,96.19174528121948,34.90950584411621,camera_conditioning,4,,6553600
winner_only,18,protocol_v1_B_008_prefix5_anchored_95981b8f74bed0_background_drift_stageA_final,0.19441190361976624,0.19441190361976624,0.19401240348815918,-0.00039950013160705566,nan,0.04176209483922676,14.597666120477953,1.1710862787950305e-05,350,0.9489051103591919,96.55406928062439,34.90950584411621,camera_conditioning,4,,6553600
winner_only,19,protocol_v1_B_008_prefix5_anchored_95981b8f74bed0_background_drift_stageA_final,0.12470908463001251,0.12470908463001251,0.12484905123710632,0.00013996660709381104,nan,0.051704121736220555,14.59767779342834,1.1672950387620062e-05,219,0.9727239012718201,96.16542553901672,34.90950584411621,camera_conditioning,4,,6553600
winner_only,20,protocol_v1_B_008_prefix5_anchored_95981b8f74bed0_background_drift_stageA_final,0.20310533046722412,0.20310533046722412,0.2030831277370453,-2.2202730178833008e-05,nan,0.046658467557259276,14.597690274765215,1.2481336874259341e-05,348,0.94933021068573,96.49140524864197,34.90950584411621,camera_conditioning,4,,6553600
