mode,step,pair_id,loss,policy_energy,ref_energy,winner_improvement,loser_degradation,grad_norm,lora_param_norm,update_norm_proxy,timestep_index,sigma,step_time_sec,cuda_memory_gb,target_groups,rank,block_end,policy_trainable_params
winner_only,1,protocol_v1_B_008_prefix5_anchored_95981b8f74bed0_background_drift_stageA_final,0.05648151412606239,0.05648151412606239,0.05648151412606239,0.0,nan,0.027397089124188402,7.302036200910398,5.434065375453656e-08,82,0.9911466240882874,92.29839277267456,34.83626365661621,"camera_conditioning,cross_attention",4,4,1638400
winner_only,2,protocol_v1_B_008_prefix5_anchored_95981b8f74bed0_background_drift_stageA_final,0.08462163060903549,0.08462163060903549,0.08419525623321533,-0.0004263743758201599,nan,0.018310020813585296,7.302036241511434,4.0601036310761174e-08,150,0.9826589822769165,91.33445286750793,34.83626365661621,"camera_conditioning,cross_attention",4,4,1638400
winner_only,3,protocol_v1_B_008_prefix5_anchored_95981b8f74bed0_background_drift_stageA_final,0.1248585656285286,0.1248585656285286,0.12447139620780945,-0.00038716942071914673,nan,0.01494796459839505,7.302037840431142,1.5989197077459494e-06,216,0.9731876850128174,91.13450717926025,34.83626365661621,"camera_conditioning,cross_attention",4,4,1638400
winner_only,4,protocol_v1_B_008_prefix5_anchored_95981b8f74bed0_background_drift_stageA_final,0.16212429106235504,0.16212429106235504,0.16153216361999512,-0.0005921274423599243,nan,0.0250862819962594,7.302038927774442,1.0873432998437238e-06,284,0.9618484973907471,91.27459359169006,34.83626365661621,"camera_conditioning,cross_attention",4,4,1638400
winner_only,5,protocol_v1_B_008_prefix5_anchored_95981b8f74bed0_background_drift_stageA_final,0.08694617450237274,0.08694617450237274,0.08707686513662338,0.00013069063425064087,nan,0.01342780672469745,7.30204071903369,1.7912592484847778e-06,141,0.9838506579399109,91.18616008758545,34.83626365661621,"camera_conditioning,cross_attention",4,4,1638400
winner_only,6,protocol_v1_B_008_prefix5_anchored_95981b8f74bed0_background_drift_stageA_final,0.06532645225524902,0.06532645225524902,0.0655454769730568,0.00021902471780776978,nan,0.018422554412004685,7.302042414221639,1.6951879491244881e-06,126,0.9857883453369141,91.32004618644714,34.83626365661621,"camera_conditioning,cross_attention",4,4,1638400
winner_only,7,protocol_v1_B_008_prefix5_anchored_95981b8f74bed0_background_drift_stageA_final,0.1742846965789795,0.1742846965789795,0.17525352537631989,0.0009688287973403931,nan,0.026791224553195204,7.3020449618941825,2.547672543151691e-06,324,0.9542631506919861,91.38109350204468,34.83626365661621,"camera_conditioning,cross_attention",4,4,1638400
winner_only,8,protocol_v1_B_008_prefix5_anchored_95981b8f74bed0_background_drift_stageA_final,0.06416038423776627,0.06416038423776627,0.0641193613409996,-4.10228967666626e-05,nan,0.004158378522542932,7.302047458131812,2.496237629934228e-06,49,0.9948739409446716,91.44130849838257,34.83626365661621,"camera_conditioning,cross_attention",4,4,1638400
winner_only,9,protocol_v1_B_008_prefix5_anchored_95981b8f74bed0_background_drift_stageA_final,0.05711214989423752,0.05711214989423752,0.05691264942288399,-0.00019950047135353088,nan,0.003540701937968567,7.302049862533382,2.4044015694002496e-06,39,0.995958149433136,91.0400288105011,34.83626365661621,"camera_conditioning,cross_attention",4,4,1638400
winner_only,10,protocol_v1_B_008_prefix5_anchored_95981b8f74bed0_background_drift_stageA_final,0.08620235323905945,0.08620235323905945,0.08610083907842636,-0.00010151416063308716,nan,0.039717889685338036,7.302048979619275,8.829141071586832e-07,117,0.9869229197502136,91.26453876495361,34.83626365661621,"camera_conditioning,cross_attention",4,4,1638400
