pair_id,status,reasons
v11_SYN_0400_01014_drop_orbit_left_72_seed40014_object_identity_color_shift,PASS,
v11_SYN_0413_01029_drop_orbit_left_72_seed40029_partial_freeze_foreground,PASS,
v11_SYN_0236_04228_containment_orbit_left_44_seed43228_reobserve_mismatch_visible,PASS,
v11_SYN_0505_03435_roll_orbit_right_60_seed42435_roll_event_fragment_synthetic,PASS,
v11_SYN_0414_01029_drop_orbit_left_72_seed40029_wrong_camera_motion_visible,PASS,
v11_SYN_0053_02262_collision_orbit_right_64_seed41262_background_drift_visible,PASS,
v11_SYN_EXTRA_0025_02239_collision_strafe_left_180_seed41239_collision_response_failure_synthetic,PASS,
v11_SYN_EXTRA_0157_04228_containment_orbit_left_44_seed43228_containment_failure_synthetic,PASS,
v11_SYN_0403_01026_drop_orbit_left_72_seed40026_drop_motion_failure_synthetic,PASS,
v10_TypeM_003_02215_collision_strafe_left_180_seed41215_foreground_identity_color_shift,PASS,
v10_TypeM_002_02202_collision_orbit_right_64_seed41202_local_patch_drift,PASS,
v10_TypeM_005_02226_collision_orbit_right_64_seed41226_local_patch_freeze,PASS,
v11_SYN_0423_01038_drop_orbit_left_72_seed40038_local_scene_patch_drift,PASS,
v10_TypeM_016_02327_collision_strafe_left_180_seed41327_local_temporal_jump,PASS,
v11_SYN_0537_03465_roll_orbit_right_60_seed42465_object_deformation_visible,PASS,
v11_SYN_0434_01047_drop_orbit_left_72_seed40047_object_duplicate_or_fragment,PASS,
v11_SYN_0406_01026_drop_orbit_left_72_seed40026_object_identity_color_shift,PASS,
v11_SYN_0419_01032_drop_orbit_left_72_seed40032_partial_freeze_foreground,PASS,
v11_SYN_EXTRA_0158_04228_containment_orbit_left_44_seed43228_reobserve_mismatch_visible,PASS,
v11_SYN_0511_03437_roll_orbit_right_60_seed42437_roll_event_fragment_synthetic,PASS,
v11_SYN_0420_01032_drop_orbit_left_72_seed40032_wrong_camera_motion_visible,PASS,
v11_SYN_0059_02276_collision_orbit_right_64_seed41276_background_drift_visible,PASS,
v11_SYN_0043_02259_collision_strafe_left_180_seed41259_collision_response_failure_synthetic,PASS,
v11_SYN_0241_04236_containment_orbit_left_44_seed43236_containment_failure_synthetic,PASS,
v11_SYN_0409_01029_drop_orbit_left_72_seed40029_drop_motion_failure_synthetic,PASS,
v10_TypeM_007_02239_collision_strafe_left_180_seed41239_foreground_identity_color_shift,PASS,
v10_TypeM_006_02228_collision_orbit_right_64_seed41228_local_patch_drift,PASS,
v10_TypeM_009_02262_collision_orbit_right_64_seed41262_local_patch_freeze,PASS,
v11_SYN_0429_01039_drop_orbit_left_72_seed40039_local_scene_patch_drift,PASS,
v10_TypeM_040_04228_containment_orbit_left_44_seed43228_local_temporal_jump,PASS,
v11_SYN_0549_03477_roll_orbit_right_60_seed42477_object_deformation_visible,PASS,
v11_SYN_0440_01060_drop_orbit_left_72_seed40060_object_duplicate_or_fragment,PASS,
v11_SYN_0412_01029_drop_orbit_left_72_seed40029_object_identity_color_shift,PASS,
v11_SYN_0425_01038_drop_orbit_left_72_seed40038_partial_freeze_foreground,PASS,
v11_SYN_0242_04236_containment_orbit_left_44_seed43236_reobserve_mismatch_visible,PASS,
v11_SYN_0517_03440_roll_orbit_right_60_seed42440_roll_event_fragment_synthetic,PASS,
v11_SYN_0432_01039_drop_orbit_left_72_seed40039_wrong_camera_motion_visible,PASS,
v11_SYN_0065_02284_collision_orbit_right_64_seed41284_background_drift_visible,PASS,
v11_SYN_EXTRA_0029_02259_collision_strafe_left_180_seed41259_collision_response_failure_synthetic,PASS,
v11_SYN_EXTRA_0165_04248_containment_orbit_left_44_seed43248_containment_failure_synthetic,PASS,
v11_SYN_0415_01032_drop_orbit_left_72_seed40032_drop_motion_failure_synthetic,PASS,
v10_TypeM_011_02284_collision_orbit_right_64_seed41284_foreground_identity_color_shift,PASS,
v10_TypeM_010_02276_collision_orbit_right_64_seed41276_local_patch_drift,PASS,
v10_TypeM_013_02288_collision_orbit_right_64_seed41288_local_patch_freeze,PASS,
v11_SYN_0435_01047_drop_orbit_left_72_seed40047_local_scene_patch_drift,PASS,
v10_TypeM_044_04252_containment_orbit_left_44_seed43252_local_temporal_jump,PASS,
v11_SYN_0579_03533_roll_orbit_right_60_seed42533_object_deformation_visible,PASS,
v11_SYN_0452_01086_drop_orbit_left_72_seed40086_object_duplicate_or_fragment,PASS,
v11_SYN_0418_01032_drop_orbit_left_72_seed40032_object_identity_color_shift,PASS,
v11_SYN_0431_01039_drop_orbit_left_72_seed40039_partial_freeze_foreground,PASS,
v11_SYN_EXTRA_0162_04236_containment_orbit_left_44_seed43236_reobserve_mismatch_visible,PASS,
v11_SYN_0529_03453_roll_orbit_right_60_seed42453_roll_event_fragment_synthetic,PASS,
v11_SYN_0438_01047_drop_orbit_left_72_seed40047_wrong_camera_motion_visible,PASS,
v11_SYN_0095_02327_collision_strafe_left_180_seed41327_background_drift_visible,PASS,
v11_SYN_0049_02262_collision_orbit_right_64_seed41262_collision_response_failure_synthetic,PASS,
v11_SYN_0253_04249_containment_orbit_left_44_seed43249_containment_failure_synthetic,PASS,
v11_SYN_0421_01038_drop_orbit_left_72_seed40038_drop_motion_failure_synthetic,PASS,
v10_TypeM_015_02295_collision_strafe_left_180_seed41295_foreground_identity_color_shift,PASS,
v10_TypeM_018_02353_collision_strafe_left_180_seed41353_local_patch_drift,PASS,
v10_TypeM_017_02328_collision_orbit_right_64_seed41328_local_patch_freeze,PASS,
v11_SYN_0441_01060_drop_orbit_left_72_seed40060_local_scene_patch_drift,PASS,
v10_TypeM_048_04280_containment_orbit_left_44_seed43280_local_temporal_jump,PASS,
v11_SYN_0585_03536_roll_orbit_right_60_seed42536_object_deformation_visible,PASS,
