exists,false_positive_reason,file_count,has_action,has_camera,has_gravity_metadata,has_intrinsics,has_mp4,matched_token,path,root,type
True,,174,True,False,True,False,False,gravity,/home/nvme03/workspace/lingbot-world/.conda_envs/lingbot-world-v2/lib/python3.10,/home/nvme03,candidate_dir
True,,174,True,False,True,False,False,gravity,/home/nvme03/workspace/lingbot-world/.conda_envs/lingbot-world/lib/python3.10,/home/nvme03,candidate_dir
True,,6,False,False,False,False,True,gravity,/home/nvme03/workspace/Wan2.2/results/ECCV_Rebuttal_5s/PHY_GRAVITY_005_Seed1024,/home/nvme03,candidate_dir
True,,4,False,False,False,False,False,gravity,/home/nvme03/workspace/Wan2.2/results/ECCV_Rebuttal_5s/PHY_GRAVITY_005_Seed1024/heatmaps,/home/nvme03,candidate_dir
True,,6,False,False,False,False,True,gravity,/home/nvme03/workspace/Wan2.2/results/ECCV_Rebuttal_5s/PHY_GRAVITY_004_Seed42,/home/nvme03,candidate_dir
True,,4,False,False,False,False,False,gravity,/home/nvme03/workspace/Wan2.2/results/ECCV_Rebuttal_5s/PHY_GRAVITY_004_Seed42/heatmaps,/home/nvme03,candidate_dir
True,,6,False,False,False,False,True,gravity,/home/nvme03/workspace/Wan2.2/results/ECCV_Rebuttal_5s/PHY_GRAVITY_005_Seed42,/home/nvme03,candidate_dir
True,,4,False,False,False,False,False,gravity,/home/nvme03/workspace/Wan2.2/results/ECCV_Rebuttal_5s/PHY_GRAVITY_005_Seed42/heatmaps,/home/nvme03,candidate_dir
True,,6,False,False,False,False,True,gravity,/home/nvme03/workspace/Wan2.2/results/ECCV_Rebuttal_5s/PHY_GRAVITY_003_Seed1024,/home/nvme03,candidate_dir
True,,4,False,False,False,False,False,gravity,/home/nvme03/workspace/Wan2.2/results/ECCV_Rebuttal_5s/PHY_GRAVITY_003_Seed1024/heatmaps,/home/nvme03,candidate_dir
True,,6,False,False,False,False,True,gravity,/home/nvme03/workspace/Wan2.2/results/ECCV_Rebuttal_5s/PHY_GRAVITY_005_Seed2046,/home/nvme03,candidate_dir
True,,4,False,False,False,False,False,gravity,/home/nvme03/workspace/Wan2.2/results/ECCV_Rebuttal_5s/PHY_GRAVITY_005_Seed2046/heatmaps,/home/nvme03,candidate_dir
True,,6,False,False,False,False,True,gravity,/home/nvme03/workspace/Wan2.2/results/ECCV_Rebuttal_5s/PHY_GRAVITY_003_Seed2046,/home/nvme03,candidate_dir
True,,4,False,False,False,False,False,gravity,/home/nvme03/workspace/Wan2.2/results/ECCV_Rebuttal_5s/PHY_GRAVITY_003_Seed2046/heatmaps,/home/nvme03,candidate_dir
True,,6,False,False,False,False,True,gravity,/home/nvme03/workspace/Wan2.2/results/ECCV_Rebuttal_5s/PHY_GRAVITY_001_Seed42,/home/nvme03,candidate_dir
True,,4,False,False,False,False,False,gravity,/home/nvme03/workspace/Wan2.2/results/ECCV_Rebuttal_5s/PHY_GRAVITY_001_Seed42/heatmaps,/home/nvme03,candidate_dir
True,,6,False,False,False,False,True,gravity,/home/nvme03/workspace/Wan2.2/results/ECCV_Rebuttal_5s/PHY_GRAVITY_002_Seed1024,/home/nvme03,candidate_dir
True,,4,False,False,False,False,False,gravity,/home/nvme03/workspace/Wan2.2/results/ECCV_Rebuttal_5s/PHY_GRAVITY_002_Seed1024/heatmaps,/home/nvme03,candidate_dir
