row_index,manifest_kind,category,copy_source,destination_subdir,exists,file_type,size_bytes,sha256_status,copy_recommendation,copy_status,current_approved,review_priority,review_score,recommended_review_action,review_reason,safety_note
5,weights,weight_or_model_candidate,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/third_party/VideoREPA/ckpt/VideoMAEv2,weights,True,dir,4096,PENDING_LARGE_OR_DIR,REVIEW_BEFORE_COPY,NEEDS_REVIEW_DIR,false,high,36,REVIEW_FOR_APPROVAL,weight/model candidate; weight keywords: model; directory requires recursive human review before approval; hash pending because directory/large asset; category=weight_or_model_candidate,keep approved=false until explicit review
604,data,physeditworld_or_gravity_candidate,/home/nvme03/ubuntu_home_redirect/.vscode-server/extensions/ms-python.vscode-pylance-2026.2.1/typings/vscode.proposed.codeActionAI.d.ts,data,True,file,599,SHA256_OK,REVIEW_FOR_PHYS_EDIT_WORLD_50H,NEEDS_REVIEW_FILE,false,medium,30,REVIEW_IF_NEEDED,"data candidate; PhysEditWorld schema keywords: action,pose; file can be byte-counted/hash-reviewed; sha256 available; category=physeditworld_or_gravity_candidate",keep approved=false until explicit review
369,data,physeditworld_or_gravity_candidate,/home/nvme03/workspace/lingbot-world/physinone_sft_conditions_81f_pull50_20260513/MovingHitsFixed_WindGravityBalance__bg156__vbGA3S/action.npy,data,True,file,1424,SHA256_OK,REVIEW_FOR_PHYS_EDIT_WORLD_50H,NEEDS_REVIEW_FILE,false,medium,30,REVIEW_IF_NEEDED,"data candidate; PhysEditWorld schema keywords: gravity,action; file can be byte-counted/hash-reviewed; sha256 available; category=physeditworld_or_gravity_candidate",keep approved=false until explicit review
354,data,physeditworld_or_gravity_candidate,/home/nvme03/workspace/lingbot-world/physion_lingbot_inputs_camera_support_probe_20260515/collision_00012_collision_lookaway_up_reobserve_seed19000/action.npy,data,True,file,1424,SHA256_OK,REVIEW_FOR_PHYS_EDIT_WORLD_50H,NEEDS_REVIEW_FILE,false,medium,30,REVIEW_IF_NEEDED,"data candidate; PhysEditWorld schema keywords: action,camera; file can be byte-counted/hash-reviewed; sha256 available; category=physeditworld_or_gravity_candidate",keep approved=false until explicit review
355,data,physeditworld_or_gravity_candidate,/home/nvme03/workspace/lingbot-world/physion_lingbot_inputs_camera_support_probe_20260515/collision_00014_collision_offscreen_z_reobserve_seed19000/action.npy,data,True,file,1424,SHA256_OK,REVIEW_FOR_PHYS_EDIT_WORLD_50H,NEEDS_REVIEW_FILE,false,medium,30,REVIEW_IF_NEEDED,"data candidate; PhysEditWorld schema keywords: action,camera; file can be byte-counted/hash-reviewed; sha256 available; category=physeditworld_or_gravity_candidate",keep approved=false until explicit review
353,data,physeditworld_or_gravity_candidate,/home/nvme03/workspace/lingbot-world/physion_lingbot_inputs_camera_support_probe_20260515/drop_00003_drop_lookaway_up_reobserve_seed19001/action.npy,data,True,file,1424,SHA256_OK,REVIEW_FOR_PHYS_EDIT_WORLD_50H,NEEDS_REVIEW_FILE,false,medium,30,REVIEW_IF_NEEDED,"data candidate; PhysEditWorld schema keywords: action,camera; file can be byte-counted/hash-reviewed; sha256 available; category=physeditworld_or_gravity_candidate",keep approved=false until explicit review
352,data,physeditworld_or_gravity_candidate,/home/nvme03/workspace/lingbot-world/physion_lingbot_inputs_camera_support_probe_20260515/drop_00004_drop_offscreen_z_reobserve_seed19001/action.npy,data,True,file,1424,SHA256_OK,REVIEW_FOR_PHYS_EDIT_WORLD_50H,NEEDS_REVIEW_FILE,false,medium,30,REVIEW_IF_NEEDED,"data candidate; PhysEditWorld schema keywords: action,camera; file can be byte-counted/hash-reviewed; sha256 available; category=physeditworld_or_gravity_candidate",keep approved=false until explicit review
350,data,physeditworld_or_gravity_candidate,/home/nvme03/workspace/lingbot-world/physion_lingbot_inputs_native832_object_anchor_prompt_20260512/native832_drop_pose1_object_anchor_prompt/action.npy,data,True,file,1424,SHA256_OK,REVIEW_FOR_PHYS_EDIT_WORLD_50H,NEEDS_REVIEW_FILE,false,medium,30,REVIEW_IF_NEEDED,"data candidate; PhysEditWorld schema keywords: action,pose; file can be byte-counted/hash-reviewed; sha256 available; category=physeditworld_or_gravity_candidate",keep approved=false until explicit review
333,data,physeditworld_or_gravity_candidate,/home/nvme03/workspace/lingbot-world/physion_lingbot_inputs_native832_physics_k4_20260512/native832_drop_pose1_physics_prompt/action.npy,data,True,file,1424,SHA256_OK,REVIEW_FOR_PHYS_EDIT_WORLD_50H,NEEDS_REVIEW_FILE,false,medium,30,REVIEW_IF_NEEDED,"data candidate; PhysEditWorld schema keywords: action,pose; file can be byte-counted/hash-reviewed; sha256 available; category=physeditworld_or_gravity_candidate",keep approved=false until explicit review
396,data,physeditworld_or_gravity_candidate,/home/nvme03/workspace/lingbot-world/physion_lingbot_inputs_native832_scene_prompt_20260512/native832_drop_pose1_scene_prompt/action.npy,data,True,file,1424,SHA256_OK,REVIEW_FOR_PHYS_EDIT_WORLD_50H,NEEDS_REVIEW_FILE,false,medium,30,REVIEW_IF_NEEDED,"data candidate; PhysEditWorld schema keywords: action,pose; file can be byte-counted/hash-reviewed; sha256 available; category=physeditworld_or_gravity_candidate",keep approved=false until explicit review
332,data,physeditworld_or_gravity_candidate,/home/nvme03/workspace/lingbot-world/physion_lingbot_inputs_native832_scene_specific_prompt_20260512/native832_drop_pose1_scene_specific_prompt/action.npy,data,True,file,1424,SHA256_OK,REVIEW_FOR_PHYS_EDIT_WORLD_50H,NEEDS_REVIEW_FILE,false,medium,30,REVIEW_IF_NEEDED,"data candidate; PhysEditWorld schema keywords: action,pose; file can be byte-counted/hash-reviewed; sha256 available; category=physeditworld_or_gravity_candidate",keep approved=false until explicit review
573,data,physeditworld_or_gravity_candidate,/home/nvme03/workspace/physion_moving_camera_mainline_20260505/repos/tdw_physics/tdw_physics/target_controllers/gravity.py,data,True,file,16669,SHA256_OK,REVIEW_FOR_PHYS_EDIT_WORLD_50H,NEEDS_REVIEW_FILE,false,medium,30,REVIEW_IF_NEEDED,"data candidate; PhysEditWorld schema keywords: gravity,camera; file can be byte-counted/hash-reviewed; sha256 available; category=physeditworld_or_gravity_candidate",keep approved=false until explicit review
582,data,physeditworld_or_gravity_candidate,/home/nvme03/SZQ-WAM/miniconda3/envs/fastwam/lib/python3.10/antigravity.py,data,True,file,500,SHA256_OK,REVIEW_FOR_PHYS_EDIT_WORLD_50H,NEEDS_REVIEW_FILE,false,medium,25,REVIEW_IF_NEEDED,data candidate; PhysEditWorld schema keywords: gravity; file can be byte-counted/hash-reviewed; sha256 available; category=physeditworld_or_gravity_candidate,keep approved=false until explicit review
581,data,physeditworld_or_gravity_candidate,/home/nvme03/SZQ-WAM/miniconda3/envs/fastwam/lib/python3.10/fractions.py,data,True,file,28242,SHA256_OK,REVIEW_FOR_PHYS_EDIT_WORLD_50H,NEEDS_REVIEW_FILE,false,medium,25,REVIEW_IF_NEEDED,data candidate; PhysEditWorld schema keywords: action; file can be byte-counted/hash-reviewed; sha256 available; category=physeditworld_or_gravity_candidate,keep approved=false until explicit review
591,data,physeditworld_or_gravity_candidate,/home/nvme03/SZQ-WAM/miniconda3/lib/python3.13/antigravity.py,data,True,file,500,SHA256_OK,REVIEW_FOR_PHYS_EDIT_WORLD_50H,NEEDS_REVIEW_FILE,false,medium,25,REVIEW_IF_NEEDED,data candidate; PhysEditWorld schema keywords: gravity; file can be byte-counted/hash-reviewed; sha256 available; category=physeditworld_or_gravity_candidate,keep approved=false until explicit review
