step,pair_id,scope,objective,used_window_frames,timestep,actual_sigma,pair_weight,E_ref_winner_cached,E_ref_loser_cached,Delta_ref,E_policy_winner_pre,E_policy_loser_pre,Delta_policy_pre,E_policy_winner_post,E_policy_loser_post,Delta_policy_post,winner_improvement_pre,winner_improvement_post,loser_degradation_pre,loser_degradation_post,reference_relative_margin_pre,reference_relative_margin_post,winner_contribution_ratio_pre,winner_contribution_ratio_post,u_raw_pre,u_raw_post,u_clipped,lambda_loser,lambda_winner_anchor,dpo_loss,objective_loss,grad_norm,update_norm,lora_param_norm,lr,allocated_gb,reserved_gb,max_allocated_gb,step_time,finite,status,error_reason
0,v6b_GT_C_005_04209_containment_orbit_left_44_seed43209,L0_camera_r4,strict_sdpo,49,349.5545349121094,0.34955453872680664,1.0,0.810210645198822,0.9399484395980835,0.12973779439926147,0.810210645198822,0.9399484395980835,0.12973779439926147,0.810194194316864,0.9400966763496399,0.12990248203277588,0.0,1.6450881958007812e-05,0.0,0.00014823675155639648,0.0,0.0001646876335144043,0.0,0.0998914223669924,0.0,0.0001646876335144043,0.0001646876335144043,0.0,1.0,0.6931471824645996,1.5033578872680664,0.2229334122483907,0.001755054412718344,14.609314343489626,1e-06,35.0460000038147,58.1953125,56.60245323181152,96.03866958618164,True,PASS,
1,v6b_GT_C_013_03435_roll_orbit_right_60_seed42435,L0_camera_r4,strict_sdpo,49,349.5545349121094,0.34955453872680664,1.0,0.7355092763900757,0.866544783115387,0.13103550672531128,0.7354871034622192,0.8664350509643555,0.13094794750213623,0.7354646921157837,0.8664878010749817,0.131023108959198,2.2172927856445312e-05,4.458427429199219e-05,-0.00010973215103149414,-5.698204040527344e-05,-8.755922317504883e-05,-1.239776611328125e-05,1.0,1.0,-8.755922317504883e-05,-1.239776611328125e-05,-1.239776611328125e-05,0.0,1.0,0.6931483745574951,1.4286813735961914,0.14475872597801304,0.001495072676131115,14.609315646280074,1e-06,35.045984745025635,57.802734375,56.65306854248047,92.70618629455566,True,PASS,
2,v6b_GT_C_008_01029_drop_orbit_left_72_seed40029,L0_camera_r4,strict_sdpo,49,349.5545349121094,0.34955453872680664,1.0,0.8004783987998962,0.7849302291870117,-0.015548169612884521,0.8005377650260925,0.7850561141967773,-0.015481650829315186,0.8004162311553955,0.7849711775779724,-0.015445053577423096,-5.936622619628906e-05,6.216764450073242e-05,0.000125885009765625,4.094839096069336e-05,6.651878356933594e-05,0.00010311603546142578,0.0,0.6028901734104046,6.651878356933594e-05,0.00010311603546142578,0.00010311603546142578,0.0,1.0,0.6931459307670593,1.493599772453308,0.1656576807524556,0.0014698432377393679,14.609322780252432,1e-06,35.04603052139282,57.802734375,56.65404415130615,92.18866848945618,True,PASS,
3,v6b_GT_C_011_02276_collision_orbit_right_64_seed41276,L0_camera_r4,strict_sdpo,49,349.5545349121094,0.34955453872680664,1.0,0.7547791004180908,1.0478148460388184,0.29303574562072754,0.7546599507331848,1.047816276550293,0.29315632581710815,0.7547593712806702,1.0479613542556763,0.2932019829750061,0.00011914968490600586,1.9729137420654297e-05,1.430511474609375e-06,0.00014650821685791016,0.00012058019638061523,0.00016623735427856445,0.9881364310430054,0.11868053065614916,0.00012058019638061523,0.00016623735427856445,0.00016623735427856445,0.25,1.0,0.6931453943252563,1.4478931427001953,0.17115592114804246,0.0014481012148281783,14.609329661968669,1e-06,35.04601526260376,69.275390625,67.69281101226807,122.79135417938232,True,PASS,
4,v6b_GT_C_016_04249_containment_orbit_left_44_seed43249,L0_camera_r4,strict_sdpo,49,349.5545349121094,0.34955453872680664,1.0,0.8373399376869202,0.8735456466674805,0.0362057089805603,0.8373143076896667,0.873466432094574,0.03615212440490723,0.837158203125,0.8734121322631836,0.036253929138183594,2.562999725341797e-05,0.00018173456192016602,-7.921457290649414e-05,-0.000133514404296875,-5.358457565307617e-05,4.8220157623291016e-05,1.0,1.0,-5.358457565307617e-05,4.8220157623291016e-05,4.8220157623291016e-05,0.25,1.0,0.6931496858596802,1.5304863452911377,0.18059897604339611,0.0014876348980346168,14.609339106088267,1e-06,35.0460000038147,69.275390625,67.69281101226807,125.79272937774658,True,PASS,
5,v6b_GT_C_015_04248_containment_orbit_left_44_seed43248,L0_camera_r4,strict_sdpo,49,349.5545349121094,0.34955453872680664,1.0,0.7257495522499084,0.7887374758720398,0.06298792362213135,0.7257773876190186,0.788739025592804,0.0629616379737854,0.7258109450340271,0.7887236475944519,0.0629127025604248,-2.7835369110107422e-05,-6.139278411865234e-05,1.5497207641601562e-06,-1.3828277587890625e-05,-2.6285648345947266e-05,-7.522106170654297e-05,0.0,0.0,-2.6285648345947266e-05,-7.522106170654297e-05,-7.522106170654297e-05,0.25,1.0,0.69315505027771,1.419060230255127,0.12984941324409432,0.0015328063128565049,14.609350058863487,1e-06,35.0460000038147,69.275390625,67.69281101226807,121.46423649787903,True,PASS,
6,v6b_GT_C_002_03410_roll_orbit_right_60_seed42410,L0_camera_r4,strict_sdpo,49,349.5545349121094,0.34955453872680664,1.0,0.7885614633560181,0.8711698651313782,0.08260840177536011,0.7885681390762329,0.8712050914764404,0.08263695240020752,0.788515031337738,0.8711425065994263,0.08262747526168823,-6.67572021484375e-06,4.64320182800293e-05,3.522634506225586e-05,-2.7358531951904297e-05,2.855062484741211e-05,1.9073486328125e-05,0.0,1.0,2.855062484741211e-05,1.9073486328125e-05,1.9073486328125e-05,0.0,1.0,0.693150520324707,1.4817800521850586,0.1691116140590442,0.0014913219847355144,14.609360960384393,1e-06,35.045984745025635,57.802734375,67.69281101226807,92.71625280380249,True,PASS,
7,v6b_GT_C_004_04204_containment_orbit_left_44_seed43204,L0_camera_r4,strict_sdpo,49,349.5545349121094,0.34955453872680664,1.0,0.9839404225349426,1.1347389221191406,0.150798499584198,0.9840123653411865,1.134643793106079,0.15063142776489258,0.9839101433753967,1.134608268737793,0.15069812536239624,-7.194280624389648e-05,3.0279159545898438e-05,-9.512901306152344e-05,-0.00013065338134765625,-0.00016707181930541992,-0.00010037422180175781,0.0,1.0,-0.00016707181930541992,-0.00010037422180175781,-0.00010037422180175781,0.0,1.0,0.6931461095809937,1.6770652532577515,0.3574628164290005,0.0015360705966027748,14.609373106675635,1e-06,35.0460000038147,57.802734375,67.69281101226807,93.38644337654114,True,PASS,
8,v11_SYN_0053_02262_collision_orbit_right_64_seed41262_background_drift_visible,L0_camera_r4,strict_sdpo,49,349.5545349121094,0.34955453872680664,1.0,0.7503600120544434,0.7623981237411499,0.012038111686706543,0.75029456615448,0.7622904777526855,0.011995911598205566,0.7504398822784424,0.7623624205589294,0.01192253828048706,6.54458999633789e-05,-7.987022399902344e-05,-0.00010764598846435547,-3.5703182220458984e-05,-4.220008850097656e-05,-0.00011557340621948242,1.0,0.0,-4.220008850097656e-05,-0.00011557340621948242,-0.00011557340621948242,0.0,1.0,0.6931498646736145,1.443563461303711,0.16054722576628153,0.001518368033100256,14.609385363762293,1e-06,35.04601526260376,57.802734375,67.69281101226807,93.17348408699036,True,PASS,
9,v11_SYN_0578_03533_roll_orbit_right_60_seed42533_wrong_camera_motion_visible,L0_camera_r4,strict_sdpo,49,349.5545349121094,0.34955453872680664,1.0,0.7105194926261902,0.6978632211685181,-0.01265627145767212,0.7104537487030029,0.6978918313980103,-0.012561917304992676,0.7106040716171265,0.6978875398635864,-0.012716531753540039,6.574392318725586e-05,-8.45789909362793e-05,2.86102294921875e-05,2.4318695068359375e-05,9.435415267944336e-05,-6.026029586791992e-05,0.6967782691092862,0.0,9.435415267944336e-05,-6.026029586791992e-05,-6.026029586791992e-05,0.0,1.0,0.6931506991386414,1.403740644454956,0.12345340175979416,0.001529732946017692,14.609397587759224,1e-06,35.045984745025635,57.802734375,67.69281101226807,93.58307909965515,True,PASS,
