step,pair_id,scope,objective,used_window_frames,timestep,actual_sigma,actual_sigma_bin,pair_weight,win_gap,lose_gap,g_w,g_l,g_l_clip,loser_dominance,health_flags,E_ref_winner_cached,E_ref_loser_cached,Delta_ref,E_policy_winner_pre,E_policy_loser_pre,Delta_policy_pre,E_policy_winner_post,E_policy_loser_post,Delta_policy_post,winner_improvement_pre,winner_improvement_post,loser_degradation_pre,loser_degradation_post,reference_relative_margin_pre,reference_relative_margin_post,winner_contribution_ratio_pre,winner_contribution_ratio_post,u_raw_pre,u_raw_post,u_clipped,lambda_loser,lambda_winner_anchor,lambda_pref,dpo_loss,objective_loss,grad_norm,update_norm,lora_param_norm,lr,allocated_gb,reserved_gb,max_allocated_gb,step_time,finite,status,error_reason
0,v6b_GT_C_007_04228_containment_orbit_left_44_seed43228,L0_camera_r4,calibrated_winner_detached_log,49,349.5545349121094,0.34955453872680664,mid,1.0,-0.00016999244689941406,-2.008676528930664e-05,-0.00021720477969111566,-2.4584477345619975e-05,-2.4584477345619975e-05,0.0,WINNER_IMPROVES,0.782721757888794,0.8170607686042786,0.03433901071548462,0.7827087044715881,0.816973090171814,0.03426438570022583,0.7825517654418945,0.8170406818389893,0.03448891639709473,1.3053417205810547e-05,0.00016999244689941406,-8.767843246459961e-05,-2.008676528930664e-05,-7.462501525878906e-05,0.00014990568161010742,1.0,1.0,-7.462501525878906e-05,0.00014990568161010742,0.00014990568161010742,0.0,1.0,0.005,0.5950412750244141,0.7855918407440186,0.5089408099286428,0.0025068787722993873,14.61100218131996,1e-06,34.967875957489014,56.896484375,56.52164316177368,96.48020958900452,True,PASS,
1,v10_TypeM_071_01038_drop_orbit_left_72_seed40038_foreground_identity_color_shift,L0_camera_r4,calibrated_winner_detached_log,49,349.5545349121094,0.34955453872680664,mid,1.0,1.4662742614746094e-05,-8.296966552734375e-05,1.9924492382288466e-05,-0.00011180306072865512,-0.00011180306072865512,0.0,WINNER_WORSE,0.7359081506729126,0.7421469688415527,0.006238818168640137,0.7360730171203613,0.7420558333396912,0.005982816219329834,0.7359228134155273,0.7420639991760254,0.006141185760498047,-0.00016486644744873047,-1.4662742614746094e-05,-9.113550186157227e-05,-8.296966552734375e-05,-0.00025600194931030273,-9.763240814208984e-05,0.0,0.0,-0.00025600194931030273,-9.763240814208984e-05,-9.763240814208984e-05,0.0,1.0,0.005,0.6317607164382935,0.7389622330665588,0.6105866461356734,0.0023709922627578625,14.611026385038189,1e-06,34.96790647506714,56.896484375,56.57050275802612,92.99245309829712,True,PASS,
2,v10_TypeM_067_01014_drop_orbit_left_72_seed40014_foreground_identity_color_shift,L0_camera_r4,calibrated_winner_detached_log,49,349.5545349121094,0.34955453872680664,mid,1.0,-0.00015175342559814453,-3.975629806518555e-05,-0.00020921485216628162,-5.439679124483127e-05,-5.439679124483127e-05,0.0,WINNER_IMPROVES,0.7254231572151184,0.7308772802352905,0.005454123020172119,0.7252265810966492,0.7308683395385742,0.005641758441925049,0.7252714037895203,0.7308375239372253,0.005566120147705078,0.00019657611846923828,0.00015175342559814453,-8.940696716308594e-06,-3.975629806518555e-05,0.0001876354217529297,0.00011199712753295898,1.0,1.0,0.0001876354217529297,0.00011199712753295898,0.00011199712753295898,0.0,1.0,0.005,0.5575166940689087,0.7279878854751587,0.5814311508922678,0.0023542259222446727,14.611050984712913,1e-06,34.96790647506714,56.896484375,56.57050275802612,94.00954341888428,True,PASS,
3,v10_TypeM_039_04214_containment_orbit_left_44_seed43214_foreground_identity_color_shift,L0_camera_r4,calibrated_winner_detached_log,49,349.5545349121094,0.34955453872680664,mid,1.0,-7.766485214233398e-05,-8.022785186767578e-05,-9.864915273252106e-05,-0.00010271380278554432,-0.00010271380278554432,0.0,WINNER_IMPROVES,0.7873223423957825,0.7811216115951538,-0.006200730800628662,0.7871690988540649,0.7810505628585815,-0.0061185359954833984,0.7872446775436401,0.7810413837432861,-0.006203293800354004,0.0001532435417175293,7.766485214233398e-05,-7.104873657226562e-05,-8.022785186767578e-05,8.219480514526367e-05,-2.562999725341797e-06,1.0,1.0,8.219480514526367e-05,-2.562999725341797e-06,-2.562999725341797e-06,0.0,1.0,0.005,0.6696164011955261,0.7905781865119934,0.5144841332336777,0.002321251207909321,14.611075670441911,1e-06,34.967875957489014,56.916015625,56.57050275802612,93.01562404632568,True,PASS,
4,v6b_GT_C_007_04228_containment_orbit_left_44_seed43228,L0_camera_r4,calibrated_winner_detached_log,49,349.5545349121094,0.34955453872680664,mid,1.0,-8.225440979003906e-05,3.62396240234375e-05,-0.00010509319585806698,4.43526617804059e-05,4.43526617804059e-05,0.29678080397317,WINNER_IMPROVES;LOSER_DEGRADES,0.782721757888794,0.8170607686042786,0.03433901071548462,0.782397985458374,0.8170188069343567,0.034620821475982666,0.7826395034790039,0.817097008228302,0.034457504749298096,0.0003237724304199219,8.225440979003906e-05,-4.1961669921875e-05,3.62396240234375e-05,0.0002818107604980469,0.00011849403381347656,1.0,0.6941649899396378,0.0002818107604980469,0.00011849403381347656,0.00011849403381347656,0.0,1.0,0.005,0.6341352462768555,0.7857596278190613,0.5377642393779272,0.0023317929193598474,14.611100905505195,1e-06,34.967875957489014,56.896484375,56.57050275802612,93.49876689910889,True,PASS,
5,v10_TypeM_071_01038_drop_orbit_left_72_seed40038_foreground_identity_color_shift,L0_camera_r4,calibrated_winner_detached_log,49,349.5545349121094,0.34955453872680664,mid,1.0,4.291534423828125e-05,-2.5510787963867188e-05,5.8314468096802894e-05,-3.437489764031128e-05,-3.437489764031128e-05,0.0,WINNER_WORSE,0.7359081506729126,0.7421469688415527,0.006238818168640137,0.735877275466919,0.7420523166656494,0.006175041198730469,0.7359510660171509,0.7421214580535889,0.006170392036437988,3.0875205993652344e-05,-4.291534423828125e-05,-9.465217590332031e-05,-2.5510787963867188e-05,-6.377696990966797e-05,-6.842613220214844e-05,1.0,0.0,-6.377696990966797e-05,-6.842613220214844e-05,-6.842613220214844e-05,0.0,1.0,0.005,0.8016467094421387,0.7399230003356934,0.7073312997982517,0.0023519114568647296,14.611126753488485,1e-06,34.96790647506714,56.916015625,56.57050275802612,93.23422622680664,True,PASS,
6,v10_TypeM_067_01014_drop_orbit_left_72_seed40014_foreground_identity_color_shift,L0_camera_r4,calibrated_winner_detached_log,49,349.5545349121094,0.34955453872680664,mid,1.0,-0.00033855438232421875,9.417533874511719e-06,-0.00046680809731452935,1.2885163251453449e-05,1.2885163251453449e-05,0.02686125553702889,WINNER_IMPROVES;LOSER_DEGRADES,0.7254231572151184,0.7308772802352905,0.005454123020172119,0.7252296209335327,0.7309189438819885,0.0056893229484558105,0.7250846028327942,0.730886697769165,0.00580209493637085,0.00019353628158569336,0.00033855438232421875,4.166364669799805e-05,9.417533874511719e-06,0.0002351999282836914,0.00034797191619873047,0.8228585909782058,0.9729359369647139,0.0002351999282836914,0.00034797191619873047,0.00034797191619873047,0.0,1.0,0.005,0.608538031578064,0.7283263206481934,0.6218194458643703,0.002356952676314383,14.611152955004803,1e-06,34.96790647506714,56.896484375,56.57050275802612,93.51376295089722,True,PASS,
