sample_id,condition_id,template,camera_motion,model_key,status,frames_compared,PSNR,SSIM_global_proxy,LPIPS,FVD,VBench,sharpness,median_sharpness,gt_sharpness,sharpness_ratio_to_gt,flicker_proxy,freeze_rate_proxy,pixel_l1,local_absdiff_p95,R_quality_proxy,P_blur_proxy,P_freeze_proxy,R_total_proxy
02200_collision_orbit_right_64_seed41200,v6b_02200_collision_orbit_right_64_seed41200,collision,orbit_right_64,M_C_camera_self_temporal_r4,ok,16,17.540845,0.89955,BLOCKED_BY_ENV: lpips unavailable,BLOCKED_BY_ENV: no local FVD/I3D backend,BLOCKED_BY_ENV: no local VBench evaluator,326.393664,306.754694,398.484849,0.819087,4.921909,0.0,0.089855,0.27451,1,0,0.0,0.809103
02202_collision_orbit_right_64_seed41202,v6b_02202_collision_orbit_right_64_seed41202,collision,orbit_right_64,M0_original_fast,ok,16,17.465208,0.780092,BLOCKED_BY_ENV: lpips unavailable,BLOCKED_BY_ENV: no local FVD/I3D backend,BLOCKED_BY_ENV: no local VBench evaluator,181.226883,157.540558,391.257763,0.463191,5.66831,0.0,0.091153,0.309804,0.065953,0.287399,0.0,0.475356
02202_collision_orbit_right_64_seed41202,v6b_02202_collision_orbit_right_64_seed41202,collision,orbit_right_64,M_B_camera_r8,ok,16,17.463374,0.78008,BLOCKED_BY_ENV: lpips unavailable,BLOCKED_BY_ENV: no local FVD/I3D backend,BLOCKED_BY_ENV: no local VBench evaluator,175.993836,152.88553,391.257763,0.449816,5.351144,0.0,0.090805,0.313726,0,0.307976,0.0,0.454725
02202_collision_orbit_right_64_seed41202,v6b_02202_collision_orbit_right_64_seed41202,collision,orbit_right_64,M_C_camera_self_temporal_r4,ok,16,17.694917,0.786505,BLOCKED_BY_ENV: lpips unavailable,BLOCKED_BY_ENV: no local FVD/I3D backend,BLOCKED_BY_ENV: no local VBench evaluator,179.498185,148.418194,391.257763,0.458772,4.774477,0.0,0.088707,0.305882,0.043861,0.294197,0.0,0.473589
02222_collision_orbit_right_64_seed41222,v6b_02222_collision_orbit_right_64_seed41222,collision,orbit_right_64,M0_original_fast,ok,16,14.651304,0.824556,BLOCKED_BY_ENV: lpips unavailable,BLOCKED_BY_ENV: no local FVD/I3D backend,BLOCKED_BY_ENV: no local VBench evaluator,282.229453,270.233809,347.192233,0.812891,8.152479,0.0,0.137959,0.372549,1,0,0.0,0.746736
02222_collision_orbit_right_64_seed41222,v6b_02222_collision_orbit_right_64_seed41222,collision,orbit_right_64,M_B_camera_r8,ok,16,14.819243,0.828797,BLOCKED_BY_ENV: lpips unavailable,BLOCKED_BY_ENV: no local FVD/I3D backend,BLOCKED_BY_ENV: no local VBench evaluator,297.486327,284.855118,347.192233,0.856835,8.115552,0.0,0.134083,0.376471,1,0,0.0,0.75032
02222_collision_orbit_right_64_seed41222,v6b_02222_collision_orbit_right_64_seed41222,collision,orbit_right_64,M_C_camera_self_temporal_r4,ok,16,14.909095,0.832469,BLOCKED_BY_ENV: lpips unavailable,BLOCKED_BY_ENV: no local FVD/I3D backend,BLOCKED_BY_ENV: no local VBench evaluator,277.126954,264.557971,347.192233,0.798195,8.178015,0.0,0.132838,0.376471,1,0,0.0,0.752728
02226_collision_orbit_right_64_seed41226,v6b_02226_collision_orbit_right_64_seed41226,collision,orbit_right_64,M0_original_fast,ok,16,17.581387,0.892725,BLOCKED_BY_ENV: lpips unavailable,BLOCKED_BY_ENV: no local FVD/I3D backend,BLOCKED_BY_ENV: no local VBench evaluator,202.397501,152.298538,360.05928,0.562123,7.09443,0.0,0.100672,0.298039,0.560614,0.135196,0.0,0.670335
02226_collision_orbit_right_64_seed41226,v6b_02226_collision_orbit_right_64_seed41226,collision,orbit_right_64,M_B_camera_r8,ok,16,16.847362,0.885111,BLOCKED_BY_ENV: lpips unavailable,BLOCKED_BY_ENV: no local FVD/I3D backend,BLOCKED_BY_ENV: no local VBench evaluator,192.500865,160.029726,360.05928,0.534637,8.377205,0.0,0.108188,0.32549,0.423183,0.177482,0.0,0.61568
02226_collision_orbit_right_64_seed41226,v6b_02226_collision_orbit_right_64_seed41226,collision,orbit_right_64,M_C_camera_self_temporal_r4,ok,16,17.556287,0.900937,BLOCKED_BY_ENV: lpips unavailable,BLOCKED_BY_ENV: no local FVD/I3D backend,BLOCKED_BY_ENV: no local VBench evaluator,211.602674,171.478374,360.05928,0.587688,7.2611,0.0,0.101798,0.278431,0.688442,0.095864,0.0,0.712719
03409_roll_orbit_right_60_seed42409,v6b_03409_roll_orbit_right_60_seed42409,roll,orbit_right_60,M0_original_fast,ok,16,21.070798,0.93395,BLOCKED_BY_ENV: lpips unavailable,BLOCKED_BY_ENV: no local FVD/I3D backend,BLOCKED_BY_ENV: no local VBench evaluator,180.103099,160.450777,296.545227,0.607338,5.324057,0.0,0.068402,0.160784,0.786689,0.065634,0.0,0.798813
03409_roll_orbit_right_60_seed42409,v6b_03409_roll_orbit_right_60_seed42409,roll,orbit_right_60,M_B_camera_r8,ok,16,21.172941,0.937165,BLOCKED_BY_ENV: lpips unavailable,BLOCKED_BY_ENV: no local FVD/I3D backend,BLOCKED_BY_ENV: no local VBench evaluator,182.302035,162.235322,296.545227,0.614753,5.606482,0.0,0.068456,0.160784,0.823764,0.054226,0.0,0.812765
03409_roll_orbit_right_60_seed42409,v6b_03409_roll_orbit_right_60_seed42409,roll,orbit_right_60,M_C_camera_self_temporal_r4,ok,16,20.947225,0.932355,BLOCKED_BY_ENV: lpips unavailable,BLOCKED_BY_ENV: no local FVD/I3D backend,BLOCKED_BY_ENV: no local VBench evaluator,191.034885,172.265732,296.545227,0.644202,5.635345,0.0,0.06961,0.164706,0.971008,0.008921,0.0,0.854132
03410_roll_orbit_right_60_seed42410,v6b_03410_roll_orbit_right_60_seed42410,roll,orbit_right_60,M0_original_fast,ok,16,13.661315,0.809778,BLOCKED_BY_ENV: lpips unavailable,BLOCKED_BY_ENV: no local FVD/I3D backend,BLOCKED_BY_ENV: no local VBench evaluator,327.734333,304.885256,335.55818,0.976684,9.279731,0.0,0.122134,0.65098,1,0,0.0,0.729189
03410_roll_orbit_right_60_seed42410,v6b_03410_roll_orbit_right_60_seed42410,roll,orbit_right_60,M_B_camera_r8,ok,16,13.528801,0.813409,BLOCKED_BY_ENV: lpips unavailable,BLOCKED_BY_ENV: no local FVD/I3D backend,BLOCKED_BY_ENV: no local VBench evaluator,335.664535,322.285572,335.55818,1.000317,9.66575,0.0,0.126875,0.654902,1,0,0.0,0.728803
03410_roll_orbit_right_60_seed42410,v6b_03410_roll_orbit_right_60_seed42410,roll,orbit_right_60,M_C_camera_self_temporal_r4,ok,16,13.576991,0.810396,BLOCKED_BY_ENV: lpips unavailable,BLOCKED_BY_ENV: no local FVD/I3D backend,BLOCKED_BY_ENV: no local VBench evaluator,344.073148,335.011911,335.55818,1.025376,9.600263,0.0,0.125113,0.654902,1,0,0.0,0.728351
03413_roll_orbit_right_60_seed42413,v6b_03413_roll_orbit_right_60_seed42413,roll,orbit_right_60,M0_original_fast,ok,16,19.567594,0.869336,BLOCKED_BY_ENV: lpips unavailable,BLOCKED_BY_ENV: no local FVD/I3D backend,BLOCKED_BY_ENV: no local VBench evaluator,131.616148,109.305951,288.932194,0.455526,5.188282,0.0,0.077973,0.2,0.02763,0.299191,0.0,0.520932
