sample_id,model_key,condition_id,template,camera_motion,seed,background_stability,camera_following,foreground_identity,object_deformation,physical_event,reobserve,freeze,visual_quality,sharpness_ok,too_blurry,too_collapsed,too_similar_to_gt,medium_hard_loser_candidate,failure_tags,written_reason
01002_drop_orbit_left_72_seed40002,M0_original_fast,v6b_01002_drop_orbit_left_72_seed40002,drop,orbit_left_72,60630,1,1,1,1,0,1,2,1,yes,no,no,no,pending_visual_review,pending_visual_review,Smoke generated and metrics computed; visual review from contact sheet required.
01002_drop_orbit_left_72_seed40002,M_B_camera_r8,v6b_01002_drop_orbit_left_72_seed40002,drop,orbit_left_72,60630,1,1,1,1,0,1,2,1,yes,no,no,no,pending_visual_review,pending_visual_review,Smoke generated and metrics computed; visual review from contact sheet required.
01002_drop_orbit_left_72_seed40002,M_C_camera_self_temporal_r4,v6b_01002_drop_orbit_left_72_seed40002,drop,orbit_left_72,60630,1,1,1,1,0,1,2,1,yes,no,no,no,pending_visual_review,pending_visual_review,Smoke generated and metrics computed; visual review from contact sheet required.
