manifest_path,total_rows,read_error,prefix_exists,image_exists,gt_full_exists,gt_future_exists,target_exists,prompt_exists_or_text,poses_exists,intrinsics_exists,runnable,can_cut_prefix_future,template_distribution,camera_motion_distribution,path_root_type
local_assets/v2v5_rollouts_20260627_0938/original_fast_screen16_parallel/sample_01/generated_manifest.csv,1,,1,1,1,1,1,1,1,1,1,1,"{""collision"": 1}","{""orbit_right_64"": 1}","{"""": 2, ""local_assets"": 1}"
local_assets/v2v5_rollouts_20260627_0938/original_fast_screen16_parallel/sample_01/generated_manifest.jsonl,1,,1,1,1,1,1,1,1,1,1,1,"{""collision"": 1}","{""orbit_right_64"": 1}","{"""": 2, ""local_assets"": 1}"
local_assets/v2v5_rollouts_20260627_0938/original_fast_screen16_parallel/sample_01/selected_manifest.jsonl,1,,1,1,1,1,1,1,1,1,1,1,"{""collision"": 1}","{""orbit_right_64"": 1}","{""local_assets"": 3}"
local_assets/v2v5_rollouts_20260627_0938/original_fast_screen16_parallel/sample_02/generated_manifest.csv,1,,1,1,1,1,1,1,1,1,1,1,"{""collision"": 1}","{""orbit_right_64"": 1}","{"""": 2, ""local_assets"": 1}"
local_assets/v2v5_rollouts_20260627_0938/original_fast_screen16_parallel/sample_02/generated_manifest.jsonl,1,,1,1,1,1,1,1,1,1,1,1,"{""collision"": 1}","{""orbit_right_64"": 1}","{"""": 2, ""local_assets"": 1}"
local_assets/v2v5_rollouts_20260627_0938/original_fast_screen16_parallel/sample_02/selected_manifest.jsonl,1,,1,1,1,1,1,1,1,1,1,1,"{""collision"": 1}","{""orbit_right_64"": 1}","{""local_assets"": 3}"
local_assets/v2v5_rollouts_20260627_0938/original_fast_screen16_parallel/sample_03/generated_manifest.csv,1,,1,1,1,1,1,1,1,1,1,1,"{""collision"": 1}","{""orbit_right_64"": 1}","{"""": 2, ""local_assets"": 1}"
local_assets/v2v5_rollouts_20260627_0938/original_fast_screen16_parallel/sample_03/generated_manifest.jsonl,1,,1,1,1,1,1,1,1,1,1,1,"{""collision"": 1}","{""orbit_right_64"": 1}","{"""": 2, ""local_assets"": 1}"
local_assets/v2v5_rollouts_20260627_0938/original_fast_screen16_parallel/sample_03/selected_manifest.jsonl,1,,1,1,1,1,1,1,1,1,1,1,"{""collision"": 1}","{""orbit_right_64"": 1}","{""local_assets"": 3}"
local_assets/v2v5_rollouts_20260627_0938/screen16_chunks/sample_00.jsonl,1,,1,1,1,1,1,1,1,1,1,1,"{""collision"": 1}","{""orbit_right_64"": 1}","{""local_assets"": 3}"
local_assets/v2v5_rollouts_20260627_0938/screen16_chunks/sample_01.jsonl,1,,1,1,1,1,1,1,1,1,1,1,"{""collision"": 1}","{""orbit_right_64"": 1}","{""local_assets"": 3}"
local_assets/v2v5_rollouts_20260627_0938/screen16_chunks/sample_02.jsonl,1,,1,1,1,1,1,1,1,1,1,1,"{""collision"": 1}","{""orbit_right_64"": 1}","{""local_assets"": 3}"
local_assets/v2v5_rollouts_20260627_0938/screen16_chunks/sample_03.jsonl,1,,1,1,1,1,1,1,1,1,1,1,"{""collision"": 1}","{""orbit_right_64"": 1}","{""local_assets"": 3}"
