sample_id,condition_id,template,camera_motion,model_key,rollout_set,status,frames_compared,PSNR,SSIM_global_proxy,LPIPS,FVD,VBench,sharpness,median_sharpness,gt_sharpness,sharpness_ratio_to_gt,flicker_proxy,freeze_rate_proxy,pixel_l1,local_absdiff_p95,R_quality_proxy,P_blur_proxy,P_freeze_proxy,R_total_proxy
02276_collision_orbit_right_64_seed41276,v6b_02276_collision_orbit_right_64_seed41276,collision,orbit_right_64,M_C_camera_self_temporal_r4,remaining16,ok,12,18.223141,0.870145,BLOCKED_BY_ENV: lpips unavailable,BLOCKED_BY_ENV: no local FVD/I3D backend,BLOCKED_BY_ENV: no local VBench evaluator,301.068463,330.834242,440.744273,0.683091,8.589102,0.0,0.091078,0.254902,1,0,0.0,0.80734
02284_collision_orbit_right_64_seed41284,v6b_02284_collision_orbit_right_64_seed41284,collision,orbit_right_64,M0_original_fast,remaining16,missing_or_decode_failed,,,,BLOCKED_BY_ENV: lpips unavailable,BLOCKED_BY_ENV: no local FVD/I3D backend,BLOCKED_BY_ENV: no local VBench evaluator,,,,,,,,,,,,
02284_collision_orbit_right_64_seed41284,v6b_02284_collision_orbit_right_64_seed41284,collision,orbit_right_64,M_B_camera_r8,remaining16,ok,12,14.764255,0.831091,BLOCKED_BY_ENV: lpips unavailable,BLOCKED_BY_ENV: no local FVD/I3D backend,BLOCKED_BY_ENV: no local VBench evaluator,301.833503,288.01993,390.239008,0.773458,8.415702,0.0,0.136614,0.403922,1,0,0.0,0.750435
02284_collision_orbit_right_64_seed41284,v6b_02284_collision_orbit_right_64_seed41284,collision,orbit_right_64,M_C_camera_self_temporal_r4,remaining16,ok,12,14.842069,0.832098,BLOCKED_BY_ENV: lpips unavailable,BLOCKED_BY_ENV: no local FVD/I3D backend,BLOCKED_BY_ENV: no local VBench evaluator,320.837321,304.184991,390.239008,0.822156,8.544566,0.0,0.135755,0.403922,1,0,0.0,0.75176
03409_roll_orbit_right_60_seed42409,v6b_03409_roll_orbit_right_60_seed42409,roll,orbit_right_60,M0_original_fast,first16,ok,12,21.103974,0.934548,BLOCKED_BY_ENV: lpips unavailable,BLOCKED_BY_ENV: no local FVD/I3D backend,BLOCKED_BY_ENV: no local VBench evaluator,179.026667,165.742878,294.901192,0.607073,5.880429,0.0,0.067946,0.160784,0.785367,0.066041,0.0,0.799025
03409_roll_orbit_right_60_seed42409,v6b_03409_roll_orbit_right_60_seed42409,roll,orbit_right_60,M_B_camera_r8,first16,ok,12,21.170132,0.937051,BLOCKED_BY_ENV: lpips unavailable,BLOCKED_BY_ENV: no local FVD/I3D backend,BLOCKED_BY_ENV: no local VBench evaluator,180.599666,167.257742,294.901192,0.612407,6.34956,0.0,0.068206,0.160784,0.812037,0.057835,0.0,0.809037
03409_roll_orbit_right_60_seed42409,v6b_03409_roll_orbit_right_60_seed42409,roll,orbit_right_60,M_C_camera_self_temporal_r4,first16,ok,12,20.987171,0.933095,BLOCKED_BY_ENV: lpips unavailable,BLOCKED_BY_ENV: no local FVD/I3D backend,BLOCKED_BY_ENV: no local VBench evaluator,189.6473,175.403326,294.901192,0.643088,6.148315,0.0,0.069113,0.160784,0.965438,0.010634,0.0,0.853156
03410_roll_orbit_right_60_seed42410,v6b_03410_roll_orbit_right_60_seed42410,roll,orbit_right_60,M0_original_fast,first16,ok,12,13.694906,0.811212,BLOCKED_BY_ENV: lpips unavailable,BLOCKED_BY_ENV: no local FVD/I3D backend,BLOCKED_BY_ENV: no local VBench evaluator,327.482757,314.474778,336.097527,0.974368,10.904657,0.0,0.121471,0.647059,1,0,0.0,0.730111
03410_roll_orbit_right_60_seed42410,v6b_03410_roll_orbit_right_60_seed42410,roll,orbit_right_60,M_B_camera_r8,first16,ok,12,13.534635,0.814319,BLOCKED_BY_ENV: lpips unavailable,BLOCKED_BY_ENV: no local FVD/I3D backend,BLOCKED_BY_ENV: no local VBench evaluator,341.177168,338.850122,336.097527,1.015114,11.4407,0.0,0.126311,0.65098,1,0,0.0,0.729195
03410_roll_orbit_right_60_seed42410,v6b_03410_roll_orbit_right_60_seed42410,roll,orbit_right_60,M_C_camera_self_temporal_r4,first16,ok,12,13.611775,0.81207,BLOCKED_BY_ENV: lpips unavailable,BLOCKED_BY_ENV: no local FVD/I3D backend,BLOCKED_BY_ENV: no local VBench evaluator,345.182268,333.665892,336.097527,1.02703,11.439136,0.0,0.124247,0.65098,1,0,0.0,0.729372
