sample_id,condition_id,template,camera_motion,model_key,frames_compared,PSNR,SSIM_global_proxy,LPIPS,FVD,VBench,sharpness,median_sharpness,gt_sharpness,sharpness_ratio_to_gt,flicker_proxy,freeze_rate_proxy,R_quality_proxy,P_blur_proxy,P_freeze_proxy,R_total_proxy
01002_drop_orbit_left_72_seed40002,v6b_01002_drop_orbit_left_72_seed40002,drop,orbit_left_72,M0_original_fast,76,14.349576,0.643804,BLOCKED_BY_ENV: lpips unavailable,BLOCKED_BY_ENV: no local FVD/I3D backend,BLOCKED_BY_ENV: no local VBench evaluator,343.261881,251.653784,391.501668,0.876783,5.871595,0.000000,1.000000,0.000000,0.000000,0.804092
01002_drop_orbit_left_72_seed40002,v6b_01002_drop_orbit_left_72_seed40002,drop,orbit_left_72,M_B_camera_r8,76,14.298854,0.642643,BLOCKED_BY_ENV: lpips unavailable,BLOCKED_BY_ENV: no local FVD/I3D backend,BLOCKED_BY_ENV: no local VBench evaluator,354.124624,256.931534,391.501668,0.904529,5.838874,0.000000,1.000000,0.000000,0.000000,0.803454
01002_drop_orbit_left_72_seed40002,v6b_01002_drop_orbit_left_72_seed40002,drop,orbit_left_72,M_C_camera_self_temporal_r4,76,14.202136,0.634939,BLOCKED_BY_ENV: lpips unavailable,BLOCKED_BY_ENV: no local FVD/I3D backend,BLOCKED_BY_ENV: no local VBench evaluator,359.594067,255.861005,391.501668,0.918499,5.988274,0.000000,1.000000,0.000000,0.000000,0.799216
