sample_id,model_key,condition_id,template,camera_motion,seed,background_stability,camera_following,foreground_identity,object_deformation,physical_event,reobserve,freeze,visual_quality,sharpness_ok,too_blurry,too_collapsed,too_similar_to_gt,medium_hard_loser_candidate,failure_tags,written_reason,contact_sheet,generated_future,gt_future,R_total_proxy,PSNR,SSIM_global_proxy,sharpness_ratio_to_gt
01014_drop_orbit_left_72_seed40014,M_B_camera_r8,v6b_01014_drop_orbit_left_72_seed40014,drop,orbit_left_72,40014,,,,,,,,,yes,no,,,,,pending Codex visual review,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_B_camera_r8/contact_sheets/01014_drop_orbit_left_72_seed40014_M_B_camera_r8_prefix_future.jpg,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_B_camera_r8/videos/01014_drop_orbit_left_72_seed40014_M_B_camera_r8_future.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/01014_drop_orbit_left_72_seed40014/clean_future_5_80.mp4,0.737316,14.859147,0.79022,1.042137
01014_drop_orbit_left_72_seed40014,M_C_camera_self_temporal_r4,v6b_01014_drop_orbit_left_72_seed40014,drop,orbit_left_72,40014,,,,,,,,,yes,no,,,,,pending Codex visual review,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_C_camera_self_temporal_r4/contact_sheets/01014_drop_orbit_left_72_seed40014_M_C_camera_self_temporal_r4_prefix_future.jpg,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_C_camera_self_temporal_r4/videos/01014_drop_orbit_left_72_seed40014_M_C_camera_self_temporal_r4_future.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/01014_drop_orbit_left_72_seed40014/clean_future_5_80.mp4,0.741301,14.78643,0.804201,1.07612
02200_collision_orbit_right_64_seed41200,M0_original_fast,v6b_02200_collision_orbit_right_64_seed41200,collision,orbit_right_64,41200,,,,,,,,,yes,no,,,,,pending Codex visual review,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M0_original_fast/contact_sheets/02200_collision_orbit_right_64_seed41200_M0_original_fast_prefix_future.jpg,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M0_original_fast/videos/02200_collision_orbit_right_64_seed41200_M0_original_fast_future.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/02200_collision_orbit_right_64_seed41200/clean_future_5_80.mp4,0.808777,17.509806,0.899726,0.814136
02200_collision_orbit_right_64_seed41200,M_B_camera_r8,v6b_02200_collision_orbit_right_64_seed41200,collision,orbit_right_64,41200,,,,,,,,,yes,no,,,,,pending Codex visual review,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_B_camera_r8/contact_sheets/02200_collision_orbit_right_64_seed41200_M_B_camera_r8_prefix_future.jpg,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_B_camera_r8/videos/02200_collision_orbit_right_64_seed41200_M_B_camera_r8_future.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/02200_collision_orbit_right_64_seed41200/clean_future_5_80.mp4,0.79599,16.923145,0.884145,0.81076
02200_collision_orbit_right_64_seed41200,M_C_camera_self_temporal_r4,v6b_02200_collision_orbit_right_64_seed41200,collision,orbit_right_64,41200,,,,,,,,,yes,no,,,,,pending Codex visual review,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_C_camera_self_temporal_r4/contact_sheets/02200_collision_orbit_right_64_seed41200_M_C_camera_self_temporal_r4_prefix_future.jpg,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_C_camera_self_temporal_r4/videos/02200_collision_orbit_right_64_seed41200_M_C_camera_self_temporal_r4_future.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/02200_collision_orbit_right_64_seed41200/clean_future_5_80.mp4,0.809103,17.540845,0.89955,0.819087
02202_collision_orbit_right_64_seed41202,M0_original_fast,v6b_02202_collision_orbit_right_64_seed41202,collision,orbit_right_64,41202,,,,,,,,,no,yes,,,,,pending Codex visual review,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M0_original_fast/contact_sheets/02202_collision_orbit_right_64_seed41202_M0_original_fast_prefix_future.jpg,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M0_original_fast/videos/02202_collision_orbit_right_64_seed41202_M0_original_fast_future.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/02202_collision_orbit_right_64_seed41202/clean_future_5_80.mp4,0.475356,17.465208,0.780092,0.463191
02202_collision_orbit_right_64_seed41202,M_B_camera_r8,v6b_02202_collision_orbit_right_64_seed41202,collision,orbit_right_64,41202,,,,,,,,,no,yes,,,,,pending Codex visual review,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_B_camera_r8/contact_sheets/02202_collision_orbit_right_64_seed41202_M_B_camera_r8_prefix_future.jpg,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_B_camera_r8/videos/02202_collision_orbit_right_64_seed41202_M_B_camera_r8_future.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/02202_collision_orbit_right_64_seed41202/clean_future_5_80.mp4,0.454725,17.463374,0.78008,0.449816
02202_collision_orbit_right_64_seed41202,M_C_camera_self_temporal_r4,v6b_02202_collision_orbit_right_64_seed41202,collision,orbit_right_64,41202,,,,,,,,,no,yes,,,,,pending Codex visual review,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_C_camera_self_temporal_r4/contact_sheets/02202_collision_orbit_right_64_seed41202_M_C_camera_self_temporal_r4_prefix_future.jpg,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_C_camera_self_temporal_r4/videos/02202_collision_orbit_right_64_seed41202_M_C_camera_self_temporal_r4_future.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/02202_collision_orbit_right_64_seed41202/clean_future_5_80.mp4,0.473589,17.694917,0.786505,0.458772
02222_collision_orbit_right_64_seed41222,M0_original_fast,v6b_02222_collision_orbit_right_64_seed41222,collision,orbit_right_64,41222,,,,,,,,,yes,no,,,,,pending Codex visual review,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M0_original_fast/contact_sheets/02222_collision_orbit_right_64_seed41222_M0_original_fast_prefix_future.jpg,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M0_original_fast/videos/02222_collision_orbit_right_64_seed41222_M0_original_fast_future.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/02222_collision_orbit_right_64_seed41222/clean_future_5_80.mp4,0.746736,14.651304,0.824556,0.812891
02222_collision_orbit_right_64_seed41222,M_B_camera_r8,v6b_02222_collision_orbit_right_64_seed41222,collision,orbit_right_64,41222,,,,,,,,,yes,no,,,,,pending Codex visual review,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_B_camera_r8/contact_sheets/02222_collision_orbit_right_64_seed41222_M_B_camera_r8_prefix_future.jpg,local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_B_camera_r8/videos/02222_collision_orbit_right_64_seed41222_M_B_camera_r8_future.mp4,local_assets/targeted_BC_loser_mining_v6b/conditions/02222_collision_orbit_right_64_seed41222/clean_future_5_80.mp4,0.75032,14.819243,0.828797,0.856835
