run,status,world_size,rank_summary_count,metrics_file_count,all_rank_statuses,steps_main,pair_count,same_noise,same_timestep,finite,nonzero_grad,save_load_ok_rank0,policy_trainable_params,lora_groups,elapsed_seconds,mean_step_time_sec,mean_dpo_loss,mean_implicit_accuracy,mean_grad_norm,mean_winner_improvement,mean_loser_degradation,max_reserved_gb,out_dir
single_gpu7,PASS,1,1,1,PASS,2,5,True,True,True,True,True,6553600,"{""camera_conditioning"": 160}",1180.615609407425,192.5700192451477,0.6931391656398773,0.5,0.000980650591596891,7.881224155426025e-05,8.118152618408203e-05,88.01171875,reports/dpo_bf16_preflight/lingbot_fast_single_gpu7_20260627_053617
ddp2_gpu67,PASS,2,2,2,PASS PASS,5,6,True,True,True,True,True,6553600,"{""camera_conditioning"": 160}",1665.191875219345,193.00241091251374,0.6931454300880432,0.4,0.002173299814296689,-9.551793336868287e-05,0.00013040155172348023,88.03125,reports/dpo_bf16_preflight/lingbot_fast_ddp2_gpu67_20260627_060736
ddp8_gpu01234567,PASS,8,8,8,PASS PASS PASS PASS PASS PASS PASS PASS,5,5,True,True,True,True,True,6553600,"{""camera_conditioning"": 160}",1685.8061537742615,194.03881406784058,0.69314995855093,0.425,0.0009354286902804667,-6.61281286738813e-05,1.0548834688961506e-05,88.03125,reports/dpo_bf16_preflight/lingbot_fast_ddp8_gpu01234567_20260627_063825
