utility_type,count,beta,median_abs_u,median_abs_beta_u,p90_abs_beta_u,mean_dpo_loss,mean_gradient_scale,near_zero_ratio,effective_ratio,saturation_ratio
u_raw,4,0.01,0.0,0.0,0.0,0.6931471805599453,0.005,1.0,0.0,0.0
u_raw,4,0.02,0.0,0.0,0.0,0.6931471805599453,0.01,1.0,0.0,0.0
u_raw,4,0.05,0.0,0.0,0.0,0.6931471805599453,0.025,1.0,0.0,0.0
u_raw,4,0.1,0.0,0.0,0.0,0.6931471805599453,0.05,1.0,0.0,0.0
u_raw,4,0.2,0.0,0.0,0.0,0.6931471805599453,0.1,1.0,0.0,0.0
u_raw,4,0.5,0.0,0.0,0.0,0.6931471805599453,0.25,1.0,0.0,0.0
u_raw,4,1,0.0,0.0,0.0,0.6931471805599453,0.5,1.0,0.0,0.0
u_raw,4,2,0.0,0.0,0.0,0.6931471805599453,1.0,1.0,0.0,0.0
u_raw,4,5,0.0,0.0,0.0,0.6931471805599453,2.5,1.0,0.0,0.0
u_raw,4,10,0.0,0.0,0.0,0.6931471805599453,5.0,1.0,0.0,0.0
u_raw,4,20,0.0,0.0,0.0,0.6931471805599453,10.0,1.0,0.0,0.0
u_raw,4,50,0.0,0.0,0.0,0.6931471805599453,25.0,1.0,0.0,0.0
u_raw,4,100,0.0,0.0,0.0,0.6931471805599453,50.0,1.0,0.0,0.0
u_raw,4,200,0.0,0.0,0.0,0.6931471805599453,100.0,1.0,0.0,0.0
u_raw,4,500,0.0,0.0,0.0,0.6931471805599453,250.0,1.0,0.0,0.0
u_raw,4,1000,0.0,0.0,0.0,0.6931471805599453,500.0,1.0,0.0,0.0
u_log,4,0.01,0.0,0.0,0.0,0.6931471805599453,0.005,1.0,0.0,0.0
u_log,4,0.02,0.0,0.0,0.0,0.6931471805599453,0.01,1.0,0.0,0.0
u_log,4,0.05,0.0,0.0,0.0,0.6931471805599453,0.025,1.0,0.0,0.0
u_log,4,0.1,0.0,0.0,0.0,0.6931471805599453,0.05,1.0,0.0,0.0
u_log,4,0.2,0.0,0.0,0.0,0.6931471805599453,0.1,1.0,0.0,0.0
u_log,4,0.5,0.0,0.0,0.0,0.6931471805599453,0.25,1.0,0.0,0.0
u_log,4,1,0.0,0.0,0.0,0.6931471805599453,0.5,1.0,0.0,0.0
u_log,4,2,0.0,0.0,0.0,0.6931471805599453,1.0,1.0,0.0,0.0
u_log,4,5,0.0,0.0,0.0,0.6931471805599453,2.5,1.0,0.0,0.0
u_log,4,10,0.0,0.0,0.0,0.6931471805599453,5.0,1.0,0.0,0.0
u_log,4,20,0.0,0.0,0.0,0.6931471805599453,10.0,1.0,0.0,0.0
u_log,4,50,0.0,0.0,0.0,0.6931471805599453,25.0,1.0,0.0,0.0
u_log,4,100,0.0,0.0,0.0,0.6931471805599453,50.0,1.0,0.0,0.0
u_log,4,200,0.0,0.0,0.0,0.6931471805599453,100.0,1.0,0.0,0.0
u_log,4,500,0.0,0.0,0.0,0.6931471805599453,250.0,1.0,0.0,0.0
