step,pair_id,objective,used_window_frames,timestep,actual_sigma,pair_weight,E_ref_winner_cached,E_ref_loser_cached,Delta_ref,E_policy_winner_pre,E_policy_loser_pre,Delta_policy_pre,E_policy_winner_post,E_policy_loser_post,Delta_policy_post,winner_improvement_pre,winner_improvement_post,loser_degradation_pre,loser_degradation_post,reference_relative_margin_pre,reference_relative_margin_post,winner_contribution_ratio_pre,winner_contribution_ratio_post,u_raw_pre,u_raw_post,u_clipped,lambda_loser,lambda_winner_anchor,dpo_loss,objective_loss,grad_norm,update_norm,lora_param_norm,lr,allocated_gb,reserved_gb,max_allocated_gb,step_time,finite,status,error_reason
0,v6b_GT_C_011_02276_collision_orbit_right_64_seed41276,forward_sanity,49,349.5545349121094,0.34955453872680664,2.0,0.7487576007843018,1.0418808460235596,0.2931232452392578,0.7487576007843018,1.0418808460235596,0.2931232452392578,0.7487576007843018,1.0418808460235596,0.2931232452392578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,14.602627620965498,1e-06,34.86339282989502,43.947265625,43.59084749221802,30.038858890533447,True,PASS,
1,v6b_GT_C_014_03437_roll_orbit_right_60_seed42437,forward_sanity,49,349.5545349121094,0.34955453872680664,1.190168488686576,0.7926092147827148,0.9630956053733826,0.17048639059066772,0.7926092147827148,0.9630956053733826,0.17048639059066772,0.7926092147827148,0.9630956053733826,0.17048639059066772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,14.602627620965498,1e-06,34.863362312316895,43.654296875,43.59084749221802,23.722390174865723,True,PASS,
2,v6b_GT_C_012_02284_collision_orbit_right_64_seed41284,forward_sanity,49,349.5545349121094,0.34955453872680664,1.140273809069318,0.8453183770179749,1.0086575746536255,0.16333919763565063,0.8453183770179749,1.0086575746536255,0.16333919763565063,0.8453183770179749,1.0086575746536255,0.16333919763565063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,14.602627620965498,1e-06,34.86339282989502,43.654296875,43.590847969055176,22.74492883682251,True,PASS,
3,v6b_GT_C_004_04204_containment_orbit_left_44_seed43204,forward_sanity,49,349.5545349121094,0.34955453872680664,1.0707196020742222,0.9873882532119751,1.1407641172409058,0.15337586402893066,0.9873882532119751,1.1407641172409058,0.15337586402893066,0.9873882532119751,1.1407641172409058,0.15337586402893066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,14.602627620965498,1e-06,34.86337757110596,43.673828125,43.590847969055176,26.977810382843018,True,PASS,
4,v6b_GT_C_013_03435_roll_orbit_right_60_seed42435,forward_sanity,49,349.5545349121094,0.34955453872680664,0.911096989103041,0.7354840040206909,0.8659946322441101,0.1305106282234192,0.7354840040206909,0.8659946322441101,0.1305106282234192,0.7354840040206909,0.8659946322441101,0.1305106282234192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,14.602627620965498,1e-06,34.863362312316895,43.75390625,43.590847969055176,29.708961248397827,True,PASS,
5,v6b_GT_C_003_03418_roll_orbit_right_60_seed42418,forward_sanity,49,349.5545349121094,0.34955453872680664,0.8891726235869598,0.7117257118225098,0.8390957713127136,0.12737005949020386,0.7117257118225098,0.8390957713127136,0.12737005949020386,0.7117257118225098,0.8390957713127136,0.12737005949020386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,14.602627620965498,1e-06,34.863362312316895,43.673828125,43.590847969055176,26.095362663269043,True,PASS,
6,v6b_GT_C_001_01014_drop_orbit_left_72_seed40014,forward_sanity,49,349.5545349121094,0.34955453872680664,0.5,0.7446877360343933,0.8124614953994751,0.06777375936508179,0.7446877360343933,0.8124614953994751,0.06777375936508179,0.7446877360343933,0.8124614953994751,0.06777375936508179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,14.602627620965498,1e-06,34.86340808868408,43.83203125,43.59086322784424,27.20803689956665,True,PASS,
7,v6b_GT_C_007_04228_containment_orbit_left_44_seed43228,forward_sanity,49,349.5545349121094,0.34955453872680664,0.5,0.7728785276412964,0.8128641247749329,0.039985597133636475,0.7728785276412964,0.8128641247749329,0.039985597133636475,0.7728785276412964,0.8128641247749329,0.039985597133636475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,14.602627620965498,1e-06,34.86337757110596,43.67578125,43.59086322784424,25.488152265548706,True,PASS,
