pair_id,pair_type,source,condition_id,template,camera_motion,failure_type,PSNR,SSIM,mean_absdiff,sharpness_winner,sharpness_loser,sharpness_ratio,brightness,contrast,flicker,freeze_rate,local_absdiff_mean,local_absdiff_p95,reward_winner,reward_loser,reward_margin,R_bg,R_cam,R_fg,R_phys,R_reobs,R_quality,P_freeze,P_blur,R_total,status
v10_TypeM_015_02295_collision_strafe_left_180_seed41295_foreground_identity_color_shift,TypeM_v10_synthetic_visible,,02295_collision_strafe_left_180_seed41295,collision,strafe_left_180,foreground_identity_color_shift,35.366139422037946,0.9978090612250452,2.680789738893509,844.6723226893348,914.4513853670074,1.0826108074346437,127.44539450620995,65.92829050258312,1.2632142596786224,0.0,15.37808609008789,44.0,1.0,0.780313,0.219687,0.800313,0.790313,0.760313,0.765313,0.780313,1.0,0.0,0.0,0.780313,SCORED
v10_TypeM_016_02327_collision_strafe_left_180_seed41327_local_temporal_jump,TypeM_v10_synthetic_visible,,02327_collision_strafe_left_180_seed41327,collision,strafe_left_180,local_temporal_jump,34.41172661506784,0.9927822777676265,2.428518921136856,833.8524379530602,886.0057497738366,1.0625450132235115,129.08093136518428,62.70058126013052,1.4118310531617313,0.0,12.155219078063965,98.0,1.0,0.826354,0.173646,0.846354,0.836354,0.806354,0.811354,0.826354,1.0,0.0,0.0,0.826354,SCORED
v10_TypeM_017_02328_collision_orbit_right_64_seed41328_local_patch_freeze,TypeM_v10_synthetic_visible,,02328_collision_orbit_right_64_seed41328,collision,orbit_right_64,local_patch_freeze,35.435804604737356,0.9958207088139223,2.5410521030426025,923.4543720463323,1005.7669748525414,1.0891355384832633,120.739697265625,61.68068597526835,0.7131213649056324,0.0,10.350001335144043,31.0,1.0,0.852143,0.147857,0.872143,0.862143,0.832143,0.837143,0.852143,1.0,0.0,0.0,0.852143,SCORED
v10_TypeM_018_02353_collision_strafe_left_180_seed41353_local_patch_drift,TypeM_v10_synthetic_visible,,02353_collision_strafe_left_180_seed41353,collision,strafe_left_180,local_patch_drift,34.28818122103671,0.9818494257568657,2.836811602115631,859.1897081028734,896.2445245232635,1.0431276306359407,99.49081655649039,44.83269913720639,1.039922663408203,0.0,14.487595558166504,83.0,1.0,0.793034,0.206966,0.813034,0.803034,0.773034,0.778034,0.793034,1.0,0.0,0.0,0.793034,SCORED
v10_TypeM_019_02360_collision_orbit_right_64_seed41360_foreground_identity_color_shift,TypeM_v10_synthetic_visible,,02360_collision_orbit_right_64_seed41360,collision,orbit_right_64,foreground_identity_color_shift,36.3772904484399,0.9977704426614191,2.656555324792862,840.1072697653292,837.4999045864678,0.9968963901758806,97.97417680789263,47.180450311216724,0.4574178868359258,0.0,14.786624908447266,43.0,1.0,0.788763,0.211237,0.808763,0.798763,0.768763,0.773763,0.788763,0.996896,0.0,0.0,0.788763,SCORED
v10_TypeM_023_prefix5_anchored_1128e39109fc83_object_deformation_foreground_identity_color_shift,TypeM_v10_synthetic_visible,,prefix5_anchored_1128e39109fc83_object_deformation,collision,orbit_right_64,foreground_identity_color_shift,34.32715778121349,0.9968728020143922,3.084619551897049,1219.3225787162075,1268.5459961657457,1.0403694791422584,101.04055676582531,61.672599770577534,0.7587620412385836,0.0,20.379077911376953,61.0,1.0,0.70887,0.29113,0.72887,0.71887,0.68887,0.69387,0.70887,1.0,0.0,0.0,0.70887,SCORED
v10_TypeM_026_prefix5_anchored_525c18bc4422f0_background_drift_local_patch_drift,TypeM_v10_synthetic_visible,,prefix5_anchored_525c18bc4422f0_background_drift,collision,orbit_right_64,local_patch_drift,34.837282896962634,0.993483603756534,2.451406627893448,1219.3225787162075,1250.5483817627098,1.0256091403259096,101.94928135016026,61.519618307968045,0.5407999925034801,0.0,10.33629322052002,51.0,1.0,0.852339,0.147661,0.872339,0.862339,0.832339,0.837339,0.852339,1.0,0.0,0.0,0.852339,SCORED
v10_TypeM_027_prefix5_anchored_7f708dfe212ad6_freeze_foreground_foreground_identity_color_shift,TypeM_v10_synthetic_visible,,prefix5_anchored_7f708dfe212ad6_freeze_foreground,collision,orbit_right_64,foreground_identity_color_shift,34.55337659179032,0.9963207558723473,3.063401013612747,1219.3225787162075,1273.9877879525673,1.044832442329644,100.89474659455128,61.33410811661577,0.3342241984993602,0.0,16.64088249206543,54.0,1.0,0.762273,0.237727,0.782273,0.772273,0.742273,0.747273,0.762273,1.0,0.0,0.0,0.762273,SCORED
v10_TypeM_031_prefix5_anchored_ede413792fce8b_nonrigid_background_warp_foreground_identity_color_shift,TypeM_v10_synthetic_visible,,prefix5_anchored_ede413792fce8b_nonrigid_background_warp,collision,orbit_right_64,foreground_identity_color_shift,35.27235235343525,0.9985620478158648,2.8551797568798065,1219.3225787162075,1256.482824370883,1.0304761400082694,101.36066268529648,61.52264718648394,0.7941866532536146,0.0,16.65972900390625,49.0,1.0,0.762004,0.237996,0.782004,0.772004,0.742004,0.747004,0.762004,1.0,0.0,0.0,0.762004,SCORED
v10_TypeM_035_v6_02222_collision_orbit_right_64_seed41222_foreground_identity_color_shift,TypeM_v10_synthetic_visible,,v6_02222_collision_orbit_right_64_seed41222,collision,orbit_right_64,foreground_identity_color_shift,35.48959933300524,0.9981806896416708,2.656226634979248,956.6074185466814,971.0938354734981,1.0151435339417307,109.97330979567307,56.380378749229116,0.9648580782662837,0.0,17.952810287475586,53.0,1.0,0.743531,0.256469,0.763531,0.753531,0.723531,0.728531,0.743531,1.0,0.0,0.0,0.743531,SCORED
