source,line_no,pair_id,pair_type,v14_pair_source,schema_ok,errors,prefix_exists,winner_full_exists,winner_future_exists,loser_full_exists,loser_future_exists
manifests/dpo_pair_factory_v11_ready_500_canonical.jsonl,307,v11_SYN_EXTRA_0061_02327_collision_strafe_left_180_seed41327_collision_response_failure_synthetic,TypeM_v11_synthetic_visible,,False,missing_condition_prefix_video_path|missing_condition_poses|missing_condition_intrinsics|missing_winner_future_video_path|missing_loser_full_video_path,False,True,False,False,True
manifests/dpo_pair_factory_v11_ready_500_canonical.jsonl,308,v11_SYN_0301_04342_containment_orbit_left_44_seed43342_containment_failure_synthetic,TypeM_v11_synthetic_visible,,False,missing_condition_prefix_video_path|missing_condition_poses|missing_condition_intrinsics|missing_winner_future_video_path|missing_loser_full_video_path,False,True,False,False,True
manifests/dpo_pair_factory_v11_ready_500_canonical.jsonl,309,v11_SYN_EXTRA_0048_02286_collision_orbit_right_64_seed41286_local_scene_patch_drift,TypeM_v11_synthetic_visible,,False,missing_condition_prefix_video_path|missing_condition_poses|missing_condition_intrinsics|missing_winner_future_video_path|missing_loser_full_video_path,False,True,False,False,True
manifests/dpo_pair_factory_v11_ready_500_canonical.jsonl,310,v11_SYN_0544_03472_roll_orbit_right_60_seed42472_partial_freeze_foreground,TypeM_v11_synthetic_visible,,False,missing_condition_prefix_video_path|missing_condition_poses|missing_condition_intrinsics|missing_winner_future_video_path|missing_loser_full_video_path,False,True,False,False,True
manifests/dpo_pair_factory_v11_ready_500_canonical.jsonl,311,v11_SYN_EXTRA_0198_04339_containment_orbit_left_44_seed43339_reobserve_mismatch_visible,TypeM_v11_synthetic_visible,,False,missing_condition_prefix_video_path|missing_condition_poses|missing_condition_intrinsics|missing_winner_future_video_path|missing_loser_full_video_path,False,True,False,False,True
manifests/dpo_pair_factory_v11_ready_500_canonical.jsonl,312,v11_SYN_0578_03533_roll_orbit_right_60_seed42533_wrong_camera_motion_visible,TypeM_v11_synthetic_visible,,False,missing_condition_prefix_video_path|missing_condition_poses|missing_condition_intrinsics|missing_winner_future_video_path|missing_loser_full_video_path,False,True,False,False,True
manifests/dpo_pair_factory_v11_ready_500_canonical.jsonl,313,v11_SYN_0581_03533_roll_orbit_right_60_seed42533_background_drift_visible,TypeM_v11_synthetic_visible,,False,missing_condition_prefix_video_path|missing_condition_poses|missing_condition_intrinsics|missing_winner_future_video_path|missing_loser_full_video_path,False,True,False,False,True
manifests/dpo_pair_factory_v11_ready_500_canonical.jsonl,314,v11_SYN_0097_02328_collision_orbit_right_64_seed41328_collision_response_failure_synthetic,TypeM_v11_synthetic_visible,,False,missing_condition_prefix_video_path|missing_condition_poses|missing_condition_intrinsics|missing_winner_future_video_path|missing_loser_full_video_path,False,True,False,False,True
manifests/dpo_pair_factory_v11_ready_500_canonical.jsonl,315,v11_SYN_EXTRA_0201_04342_containment_orbit_left_44_seed43342_containment_failure_synthetic,TypeM_v11_synthetic_visible,,False,missing_condition_prefix_video_path|missing_condition_poses|missing_condition_intrinsics|missing_winner_future_video_path|missing_loser_full_video_path,False,True,False,False,True
manifests/dpo_pair_factory_v11_ready_500_canonical.jsonl,316,v11_SYN_0076_02288_collision_orbit_right_64_seed41288_local_scene_patch_drift,TypeM_v11_synthetic_visible,,False,missing_condition_prefix_video_path|missing_condition_poses|missing_condition_intrinsics|missing_winner_future_video_path|missing_loser_full_video_path,False,True,False,False,True
manifests/dpo_pair_factory_v11_ready_500_canonical.jsonl,317,v11_SYN_0066_02284_collision_orbit_right_64_seed41284_object_identity_color_shift,TypeM_v11_synthetic_visible,,False,missing_condition_prefix_video_path|missing_condition_poses|missing_condition_intrinsics|missing_winner_future_video_path|missing_loser_full_video_path,False,True,False,False,True
manifests/dpo_pair_factory_v11_ready_500_canonical.jsonl,318,v11_SYN_0550_03477_roll_orbit_right_60_seed42477_partial_freeze_foreground,TypeM_v11_synthetic_visible,,False,missing_condition_prefix_video_path|missing_condition_poses|missing_condition_intrinsics|missing_winner_future_video_path|missing_loser_full_video_path,False,True,False,False,True
