sample_id,condition_id,template,camera_motion,model_key,frames_compared,psnr,ssim_global_proxy,lpips,fvd,vbench,mean_laplacian_sharpness,median_laplacian_sharpness,gt_mean_laplacian_sharpness,sharpness_ratio_to_gt,temporal_flicker_proxy,temporal_flicker_std,freeze_rate_proxy,width,height,fps,num_frames
,prefix5_anchored_525c18bc4422f0_background_drift,,,M0_original_fast,76,16.986570,0.886226,BLOCKED_BY_ENV: lpips package unavailable in phys-videophy env,BLOCKED_BY_ENV: no local FVD/I3D backend available for this smoke,BLOCKED_BY_ENV: no local VBench evaluator/weights available,159.350531,133.584320,1187.897227,0.134145,2.462487,1.456276,0.000000,832,480,16.000,76
,prefix5_anchored_525c18bc4422f0_background_drift,,,M_B_camera_r8,76,16.462586,0.871272,BLOCKED_BY_ENV: lpips package unavailable in phys-videophy env,BLOCKED_BY_ENV: no local FVD/I3D backend available for this smoke,BLOCKED_BY_ENV: no local VBench evaluator/weights available,144.657317,139.987710,1187.897227,0.121776,2.880071,1.716973,0.000000,832,480,16.000,76
,prefix5_anchored_525c18bc4422f0_background_drift,,,M_C_camera_self_temporal_r4,76,17.011192,0.885893,BLOCKED_BY_ENV: lpips package unavailable in phys-videophy env,BLOCKED_BY_ENV: no local FVD/I3D backend available for this smoke,BLOCKED_BY_ENV: no local VBench evaluator/weights available,161.260073,139.785000,1187.897227,0.135753,2.481085,1.432255,0.000000,832,480,16.000,76
