manifest_path,total_rows,condition_like_rows,pair_like_rows,runnable_count,recoverable_count,template_distribution,camera_motion_distribution,not_runnable_reason
local_assets/v2v5_rollouts_20260627_1000/original_fast_screen16_remaining/sample_08/generated_manifest.csv,1,1,0,1,0,"{""containment"": 1}","{""orbit_left_44"": 1}","{""ok"": 1}"
local_assets/v2v5_rollouts_20260627_1000/original_fast_screen16_remaining/sample_09/generated_manifest.csv,1,1,0,1,0,"{""containment"": 1}","{""orbit_left_44"": 1}","{""ok"": 1}"
local_assets/v2v5_rollouts_20260627_1000/original_fast_screen16_remaining/sample_10/generated_manifest.csv,1,1,0,1,0,"{""containment"": 1}","{""orbit_left_44"": 1}","{""ok"": 1}"
local_assets/v2v5_rollouts_20260627_1000/original_fast_screen16_remaining/sample_11/generated_manifest.csv,1,1,0,1,0,"{""containment"": 1}","{""orbit_left_44"": 1}","{""ok"": 1}"
local_assets/v2v5_rollouts_20260627_1000/original_fast_screen16_remaining/sample_12/generated_manifest.csv,1,1,0,1,0,"{""containment"": 1}","{""orbit_left_44"": 1}","{""ok"": 1}"
local_assets/v2v5_rollouts_20260627_1000/original_fast_screen16_remaining/sample_13/generated_manifest.csv,1,1,0,1,0,"{""containment"": 1}","{""orbit_left_44"": 1}","{""ok"": 1}"
local_assets/v2v5_rollouts_20260627_1000/original_fast_screen16_remaining/sample_14/generated_manifest.csv,1,1,0,1,0,"{""collision"": 1}","{""orbit_right_64"": 1}","{""ok"": 1}"
local_assets/v2v5_rollouts_20260627_1000/original_fast_screen16_remaining/sample_15/generated_manifest.csv,1,1,0,1,0,"{""collision"": 1}","{""orbit_right_64"": 1}","{""ok"": 1}"
manifests/anchored_dpo_probe_pairs_prefix5.jsonl,50,50,50,50,0,"{""collision"": 44, ""containment"": 6}","{""orbit_left_44"": 6, ""orbit_right_64"": 44}","{""ok"": 50}"
manifests/dpo_pair_factory_v10_conditions.jsonl,48,48,0,48,0,"{""collision"": 18, ""containment"": 14, ""drop"": 8, ""roll"": 8}","{""orbit_left_44"": 14, ""orbit_left_72"": 8, ""orbit_right_60"": 8, ""orbit_right_64"": 18}","{""ok"": 48}"
manifests/dpo_preference_protocol_v1_pairs.jsonl,66,66,66,50,16,"{""collision"": 54, ""containment"": 12}","{""orbit_left_44"": 12, ""orbit_right_64"": 54}","{""image_missing;prompt_missing;poses_missing;intrinsics_missing"": 16, ""ok"": 50}"
manifests/dpo_preference_protocol_v2_pairs.jsonl,34,34,34,34,0,"{""collision"": 30, ""containment"": 4}","{""orbit_left_44"": 4, ""orbit_right_64"": 30}","{""ok"": 34}"
manifests/dpo_preference_protocol_v3_pairs.jsonl,34,34,34,34,0,"{""collision"": 30, ""containment"": 4}","{""orbit_left_44"": 4, ""orbit_right_64"": 30}","{""ok"": 34}"
manifests/dpo_preference_protocol_v4_pairs.jsonl,42,42,42,42,0,"{""collision"": 38, ""containment"": 4}","{""orbit_left_44"": 4, ""orbit_right_64"": 38}","{""ok"": 42}"
manifests/dpo_preference_protocol_v4_typeM_pairs.jsonl,8,8,8,8,0,"{""collision"": 8}","{""orbit_right_64"": 8}","{""ok"": 8}"
manifests/dpo_typeB_C_loser_pairs_v6.jsonl,4,4,4,0,0,"{""collision"": 4}","{""orbit_right_64"": 4}","{""gt_full_missing;image_missing;prompt_missing;poses_missing;intrinsics_missing"": 4}"
manifests/dpo_typeB_C_loser_pairs_v6b.jsonl,15,15,15,15,0,"{""collision"": 2, ""containment"": 6, ""drop"": 3, ""roll"": 4}","{""orbit_left_44"": 6, ""orbit_left_72"": 3, ""orbit_right_60"": 4, ""orbit_right_64"": 2}","{""ok"": 15}"
manifests/quant_benchmark_v1_all.jsonl,80,80,0,80,0,"{""collision"": 22, ""containment"": 20, ""drop"": 16, ""roll"": 22}","{""orbit_left_44"": 20, ""orbit_left_72"": 16, ""orbit_right_60"": 22, ""orbit_right_64"": 16, ""strafe_left_180"": 6}","{""ok"": 80}"
manifests/quant_benchmark_v1_all_prefix1.jsonl,80,80,0,0,80,"{""collision"": 22, ""containment"": 20, ""drop"": 16, ""roll"": 22}","{""orbit_left_44"": 20, ""orbit_left_72"": 16, ""orbit_right_60"": 22, ""orbit_right_64"": 16, ""strafe_left_180"": 6}","{""ok"": 80}"
manifests/quant_benchmark_v1_all_prefix16.jsonl,80,80,0,0,80,"{""collision"": 22, ""containment"": 20, ""drop"": 16, ""roll"": 22}","{""orbit_left_44"": 20, ""orbit_left_72"": 16, ""orbit_right_60"": 22, ""orbit_right_64"": 16, ""strafe_left_180"": 6}","{""ok"": 80}"
manifests/quant_benchmark_v1_all_prefix5.jsonl,80,80,0,80,0,"{""collision"": 22, ""containment"": 20, ""drop"": 16, ""roll"": 22}","{""orbit_left_44"": 20, ""orbit_left_72"": 16, ""orbit_right_60"": 22, ""orbit_right_64"": 16, ""strafe_left_180"": 6}","{""ok"": 80}"
manifests/quant_benchmark_v1_all_prefix8.jsonl,80,80,0,0,80,"{""collision"": 22, ""containment"": 20, ""drop"": 16, ""roll"": 22}","{""orbit_left_44"": 20, ""orbit_left_72"": 16, ""orbit_right_60"": 22, ""orbit_right_64"": 16, ""strafe_left_180"": 6}","{""ok"": 80}"
manifests/quant_benchmark_v1_core.jsonl,64,64,0,64,0,"{""collision"": 16, ""containment"": 16, ""drop"": 16, ""roll"": 16}","{""orbit_left_44"": 16, ""orbit_left_72"": 16, ""orbit_right_60"": 16, ""orbit_right_64"": 16}","{""ok"": 64}"
manifests/quant_benchmark_v1_stress.jsonl,16,16,0,16,0,"{""collision"": 6, ""containment"": 4, ""roll"": 6}","{""orbit_left_44"": 4, ""orbit_right_60"": 6, ""strafe_left_180"": 6}","{""ok"": 16}"
manifests/scale_gt_c_pair_factory_v7_conditions_80.jsonl,21,21,0,21,0,"{""collision"": 14, ""containment"": 7}","{""orbit_left_44"": 7, ""orbit_right_64"": 14}","{""ok"": 21}"
manifests/screen16_v2v5.jsonl,16,16,16,16,0,"{""collision"": 10, ""containment"": 6}","{""orbit_left_44"": 6, ""orbit_right_64"": 10}","{""ok"": 16}"
manifests/small_lora_screen16_prefix5.jsonl,16,16,0,16,0,"{""collision"": 4, ""containment"": 4, ""drop"": 4, ""roll"": 4}","{""orbit_left_44"": 4, ""orbit_left_72"": 4, ""orbit_right_60"": 4, ""orbit_right_64"": 4}","{""ok"": 16}"
manifests/stageA_v2v5_pilot_test.jsonl,100,100,0,0,0,"{""collision"": 31, ""containment"": 18, ""drop"": 28, ""roll"": 23}","{""unknown"": 100}","{""prefix_missing;gt_full_missing;gt_future_missing;image_missing;poses_missing;intrinsics_missing"": 100}"
manifests/stageA_v2v5_pilot_train.jsonl,800,800,0,0,0,"{""collision"": 240, ""containment"": 157, ""drop"": 247, ""roll"": 156}","{""unknown"": 800}","{""prefix_missing;gt_full_missing;gt_future_missing;image_missing;poses_missing;intrinsics_missing"": 800}"
manifests/stageA_v2v5_pilot_val.jsonl,100,100,0,0,0,"{""collision"": 29, ""containment"": 25, ""drop"": 25, ""roll"": 21}","{""unknown"": 100}","{""prefix_missing;gt_full_missing;gt_future_missing;image_missing;poses_missing;intrinsics_missing"": 100}"
manifests/targeted_BC_loser_mining_v6b_conditions.jsonl,32,32,0,32,0,"{""collision"": 8, ""containment"": 8, ""drop"": 8, ""roll"": 8}","{""orbit_left_44"": 8, ""orbit_left_72"": 8, ""orbit_right_60"": 8, ""orbit_right_64"": 8}","{""ok"": 32}"
reports/dpo_engineering_runthrough_v2/sdpo_anchor_typeA8_20260629_122513/checkpoint_eval_one/step000_rollout/generated_manifest.csv,1,1,0,1,0,"{""collision"": 1}","{""orbit_right_64"": 1}","{""ok"": 1}"
reports/dpo_engineering_runthrough_v2/sdpo_anchor_typeA8_20260629_122513/checkpoint_eval_one/step005_rollout/generated_manifest.csv,1,1,0,1,0,"{""collision"": 1}","{""orbit_right_64"": 1}","{""ok"": 1}"
reports/dpo_engineering_runthrough_v2/sdpo_anchor_typeA8_20260629_122513/checkpoint_eval_one/step010_rollout/generated_manifest.csv,1,1,0,1,0,"{""collision"": 1}","{""orbit_right_64"": 1}","{""ok"": 1}"
reports/dpo_pair_hardness_v4/dpo_ready_pairs_v4.jsonl,42,42,42,42,0,"{""collision"": 38, ""containment"": 4}","{""orbit_left_44"": 4, ""orbit_right_64"": 38}","{""ok"": 42}"
reports/dpo_preference_protocol_v1/dpo_ready_pairs.jsonl,50,50,50,34,16,"{""collision"": 40, ""containment"": 10}","{""orbit_left_44"": 10, ""orbit_right_64"": 40}","{""image_missing;prompt_missing;poses_missing;intrinsics_missing"": 16, ""ok"": 34}"
reports/dpo_preference_protocol_v1/localdpo_ready_pairs.jsonl,34,34,34,34,0,"{""collision"": 30, ""containment"": 4}","{""orbit_left_44"": 4, ""orbit_right_64"": 30}","{""ok"": 34}"
reports/dpo_preference_protocol_v2/localdpo_ready_pairs_v2.jsonl,34,34,34,34,0,"{""collision"": 30, ""containment"": 4}","{""orbit_left_44"": 4, ""orbit_right_64"": 30}","{""ok"": 34}"
reports/dpo_preference_protocol_v3/dpo_ready_pairs_v3.jsonl,34,34,34,34,0,"{""collision"": 30, ""containment"": 4}","{""orbit_left_44"": 4, ""orbit_right_64"": 30}","{""ok"": 34}"
reports/dpo_preference_protocol_v3/localdpo_ready_pairs_v3.jsonl,34,34,34,34,0,"{""collision"": 30, ""containment"": 4}","{""orbit_left_44"": 4, ""orbit_right_64"": 30}","{""ok"": 34}"
reports/dpo_probe_v2v5_20260627/step020_eval/combined_generated_manifest.csv,16,16,0,16,0,"{""collision"": 10, ""containment"": 6}","{""orbit_left_44"": 6, ""orbit_right_64"": 10}","{""ok"": 16}"
reports/localdpo_mask_v2/localdpo_ready_pairs_spatial_v2.jsonl,34,34,34,34,0,"{""collision"": 30, ""containment"": 4}","{""orbit_left_44"": 4, ""orbit_right_64"": 30}","{""ok"": 34}"
reports/reward_calibration_v2/smoke_2_skip_geometry/calibration_conditions.jsonl,2,2,0,2,0,"{""drop"": 2}","{""orbit_left_72"": 2}","{""ok"": 2}"
reports/reward_visual_alignment_v5/dpo_ready_pairs_visual_v5.jsonl,3,3,3,3,0,"{""collision"": 3}","{""orbit_right_64"": 3}","{""ok"": 3}"
reports/stageA_v2v5_20260627/final/combined_generated_manifest.csv,16,16,0,16,0,"{""collision"": 10, ""containment"": 6}","{""orbit_left_44"": 6, ""orbit_right_64"": 10}","{""ok"": 16}"
reports/stageA_v2v5_20260627/step050/combined_generated_manifest.csv,16,16,0,16,0,"{""collision"": 10, ""containment"": 6}","{""orbit_left_44"": 6, ""orbit_right_64"": 10}","{""ok"": 16}"
reports/stageA_v2v5_20260627/step075/combined_generated_manifest.csv,16,16,0,16,0,"{""collision"": 10, ""containment"": 6}","{""orbit_left_44"": 6, ""orbit_right_64"": 10}","{""ok"": 16}"
reports/targeted_BC_loser_mining_v6/dpo_ready_pairs_v6.jsonl,4,4,4,0,0,"{""collision"": 4}","{""orbit_right_64"": 4}","{""gt_full_missing;image_missing;prompt_missing;poses_missing;intrinsics_missing"": 4}"
reports/targeted_BC_loser_mining_v6/generated_manifest.csv,15,15,0,0,0,"{""collision"": 12, ""containment"": 3}","{""orbit_left_44"": 3, ""orbit_right_64"": 12}","{""gt_full_missing;image_missing;prompt_missing;poses_missing;intrinsics_missing"": 15}"
reports/targeted_BC_loser_mining_v6/generated_manifest_available5.csv,15,15,0,0,0,"{""collision"": 12, ""containment"": 3}","{""orbit_left_44"": 3, ""orbit_right_64"": 12}","{""gt_full_missing;image_missing;prompt_missing;poses_missing;intrinsics_missing"": 15}"
reports/targeted_BC_loser_mining_v6/smoke_generated_manifest.csv,3,3,0,0,0,"{""unknown"": 3}","{""unknown"": 3}","{""gt_full_missing;image_missing;prompt_missing;poses_missing;intrinsics_missing"": 3}"
reports/targeted_BC_loser_mining_v6b/dpo_ready_pairs_v6b.jsonl,15,15,15,15,0,"{""collision"": 2, ""containment"": 6, ""drop"": 3, ""roll"": 4}","{""orbit_left_44"": 6, ""orbit_left_72"": 3, ""orbit_right_60"": 4, ""orbit_right_64"": 2}","{""ok"": 15}"
reports/targeted_BC_loser_mining_v6b/generated_manifest_16cond.csv,48,48,0,0,0,"{""collision"": 12, ""containment"": 12, ""drop"": 12, ""roll"": 12}","{""orbit_left_44"": 12, ""orbit_left_72"": 12, ""orbit_right_60"": 12, ""orbit_right_64"": 12}","{""gt_full_missing;image_missing;prompt_missing;poses_missing;intrinsics_missing"": 48}"
reports/targeted_BC_loser_mining_v6b/generated_manifest_32cond.csv,96,96,0,0,0,"{""collision"": 24, ""containment"": 24, ""drop"": 24, ""roll"": 24}","{""orbit_left_44"": 24, ""orbit_left_72"": 24, ""orbit_right_60"": 24, ""orbit_right_64"": 24}","{""gt_full_missing;image_missing;prompt_missing;poses_missing;intrinsics_missing"": 80, ""prefix_missing;gt_full_missing;image_missing;prompt_missing;poses_missing;intrinsics_missing"": 16}"
reports/targeted_BC_loser_mining_v6b/smoke_generated_manifest.csv,3,3,0,0,0,"{""drop"": 3}","{""orbit_left_72"": 3}","{""gt_full_missing;image_missing;prompt_missing;poses_missing;intrinsics_missing"": 3}"
