pair_index,pair_id,pair_type,protocol_version,corruption_type,winner_source,loser_source,reward_margin,policy_winner_energy,policy_loser_energy,E_policy_winner,E_policy_loser,delta_policy,Delta_policy,ref_winner_energy,ref_loser_energy,E_ref_winner,E_ref_loser,delta_ref,Delta_ref,energy_margin,reference_relative_margin,same_noise,same_timestep,prefix_len,prediction_start_frame,latent_loss_indices,timestep_index,sigma,timestep,timestep_weight,policy_trainable_params,reference_trainable_params,affected_region_available,affected_time_span_available,affected_mask_available,same_prefix,same_prompt,same_poses,same_intrinsics,quality_floor_pass,medium_hard,codex_valid_preference,codex_too_easy,codex_winner_bad,codex_loser_collapsed,seed,device,shard_index,num_shards,energy_seconds,cuda_memory_allocated_gb,cuda_memory_reserved_gb,cuda_peak_memory_gb,status,error_reason
0,v11_SYN_0017_02215_collision_strafe_left_180_seed41215_background_drift_visible,TypeM_v11_synthetic_visible,v11,background_drift_visible,clean_gt,controlled_synthetic_v11,0.12,0.10624272376298904,0.1250748634338379,0.10624272376298904,0.1250748634338379,0.018832139670848846,0.018832139670848846,0.10624272376298904,0.1250748634338379,0.10624272376298904,0.1250748634338379,0.018832139670848846,0.018832139670848846,0.018832139670848846,0.0,True,True,5,5,"2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",263,0.9655443429946899,965.5443725585938,1.4974311590194702,6553600,0,True,True,False,True,True,True,True,False,True,False,False,False,False,91600,cuda,0,1,213.95167922973633,35.171151638031006,55.791015625,50.43468189239502,ok,
1,v11_SYN_0035_02228_collision_orbit_right_64_seed41228_background_drift_visible,TypeM_v11_synthetic_visible,v11,background_drift_visible,clean_gt,controlled_synthetic_v11,0.12,0.17086373269557953,0.1867963671684265,0.17086373269557953,0.1867963671684265,0.015932634472846985,0.015932634472846985,0.17086373269557953,0.1867963671684265,0.17086373269557953,0.1867963671684265,0.015932634472846985,0.015932634472846985,0.015932634472846985,0.0,True,True,5,5,"2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",328,0.9534619450569153,953.4619750976562,2.019810676574707,6553600,0,True,True,False,True,True,True,True,False,True,False,False,False,False,91601,cuda,0,1,212.12232208251953,35.171151638031006,55.79296875,50.43368864059448,ok,
2,v11_SYN_0041_02239_collision_strafe_left_180_seed41239_background_drift_visible,TypeM_v11_synthetic_visible,v11,background_drift_visible,clean_gt,controlled_synthetic_v11,0.12,0.00962440948933363,0.01038373913615942,0.00962440948933363,0.01038373913615942,0.0007593296468257904,0.0007593296468257904,0.00962440948933363,0.01038373913615942,0.00962440948933363,0.01038373913615942,0.0007593296468257904,0.0007593296468257904,0.0007593296468257904,0.0,True,True,5,5,"2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",22,0.9977555274963379,997.7555541992188,0.0976991355419159,6553600,0,True,True,False,True,True,True,True,False,True,False,False,False,False,91602,cuda,0,1,171.6736228466034,35.171151638031006,55.79296875,50.43067502975464,ok,
3,v11_SYN_0047_02259_collision_strafe_left_180_seed41259_background_drift_visible,TypeM_v11_synthetic_visible,v11,background_drift_visible,clean_gt,controlled_synthetic_v11,0.12,0.09457544982433319,0.09939426183700562,0.09457544982433319,0.09939426183700562,0.004818812012672424,0.004818812012672424,0.09457544982433319,0.09939426183700562,0.09457544982433319,0.09939426183700562,0.004818812012672424,0.004818812012672424,0.004818812012672424,0.0,True,True,5,5,"2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",169,0.9800683259963989,980.0682983398438,0.8671584725379944,6553600,0,True,True,False,True,True,True,True,False,True,False,False,False,False,91603,cuda,0,1,176.01704263687134,35.171151638031006,55.79296875,50.43067502975464,ok,
4,v11_SYN_0053_02262_collision_orbit_right_64_seed41262_background_drift_visible,TypeM_v11_synthetic_visible,v11,background_drift_visible,clean_gt,controlled_synthetic_v11,0.12,0.18377727270126343,0.18848907947540283,0.18377727270126343,0.18848907947540283,0.004711806774139404,0.004711806774139404,0.18377727270126343,0.18848907947540283,0.18377727270126343,0.18848907947540283,0.004711806774139404,0.004711806774139404,0.004711806774139404,0.0,True,True,5,5,"2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",345,0.9499637484550476,949.9637451171875,2.170624256134033,6553600,0,True,True,False,True,True,True,True,False,True,False,False,False,False,91604,cuda,0,1,169.7616753578186,35.171151638031006,55.79296875,50.430644512176514,ok,
5,v11_SYN_0059_02276_collision_orbit_right_64_seed41276_background_drift_visible,TypeM_v11_synthetic_visible,v11,background_drift_visible,clean_gt,controlled_synthetic_v11,0.12,0.12966643273830414,0.12777484953403473,0.12966643273830414,0.12777484953403473,-0.0018915832042694092,-0.0018915832042694092,0.12966643273830414,0.12777484953403473,0.12966643273830414,0.12777484953403473,-0.0018915832042694092,-0.0018915832042694092,-0.0018915832042694092,0.0,True,True,5,5,"2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",302,0.9585278630256653,958.5278930664062,1.8010495901107788,6553600,0,True,True,False,True,True,True,True,False,True,False,False,False,False,91605,cuda,0,1,174.21901750564575,35.171151638031006,55.79296875,50.430644512176514,ok,
6,v11_SYN_0065_02284_collision_orbit_right_64_seed41284_background_drift_visible,TypeM_v11_synthetic_visible,v11,background_drift_visible,clean_gt,controlled_synthetic_v11,0.12,0.10087401419878006,0.11177962273359299,0.10087401419878006,0.11177962273359299,0.010905608534812927,0.010905608534812927,0.10087401419878006,0.11177962273359299,0.10087401419878006,0.11177962273359299,0.010905608534812927,0.010905608534812927,0.010905608534812927,0.0,True,True,5,5,"2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",162,0.9810349345207214,981.034912109375,0.8251468539237976,6553600,0,True,True,False,True,True,True,True,False,True,False,False,False,False,91606,cuda,0,1,177.28252983093262,35.171151638031006,55.79296875,50.430644512176514,ok,
7,v11_SYN_0095_02327_collision_strafe_left_180_seed41327_background_drift_visible,TypeM_v11_synthetic_visible,v11,background_drift_visible,clean_gt,controlled_synthetic_v11,0.12,0.10090278089046478,0.11105738580226898,0.10090278089046478,0.11105738580226898,0.0101546049118042,0.0101546049118042,0.10090278089046478,0.11105738580226898,0.10090278089046478,0.11105738580226898,0.0101546049118042,0.0101546049118042,0.0101546049118042,0.0,True,True,5,5,"2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",162,0.9810349345207214,981.034912109375,0.8251468539237976,6553600,0,True,True,False,True,True,True,True,False,True,False,False,False,False,91607,cuda,0,1,177.03483319282532,35.171151638031006,55.79296875,50.43067502975464,ok,
