affected_tokens_count,fallback_time_only,full_future_tokens_count,latent_frames,latent_height,latent_temporal_indices,latent_width,local_mask_ratio,pair_id,raw_time_span,reason,spatial_mask_available,spatial_mask_ratio,status,temporal_mask_available
43320,False,118560,21,60,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",104,0.36538461538461536,protocol_v2_A_025_037_02226_collision_orbit_right_64_seed41226_wrong_camera_motion_local,"{'raw_frame_start': 5, 'raw_frame_end': 80}",mask_file,True,0.36538461538461536,ok,True
15048,False,118560,21,60,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",104,0.12692307692307692,protocol_v2_A_026_038_02226_collision_orbit_right_64_seed41226_object_deformation_local,"{'raw_frame_start': 5, 'raw_frame_end': 80}",mask_file,True,0.12692307692307692,ok,True
15048,False,118560,21,60,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",104,0.12692307692307692,protocol_v2_A_027_039_02226_collision_orbit_right_64_seed41226_object_identity_change_local,"{'raw_frame_start': 5, 'raw_frame_end': 80}",mask_file,True,0.12692307692307692,ok,True
11088,False,118560,21,60,"[7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",104,0.09352226720647773,protocol_v2_A_028_041_02226_collision_orbit_right_64_seed41226_partial_freeze,"{'raw_frame_start': 27, 'raw_frame_end': 80}",mask_file,True,0.12692307692307692,ok,True
9460,False,118560,21,60,"[6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",104,0.07979082321187585,protocol_v2_A_029_042_02226_collision_orbit_right_64_seed41226_physical_event_local_failure,"{'raw_frame_start': 24, 'raw_frame_end': 62}",mask_file,True,0.1516025641025641,ok,True
43320,False,118560,21,60,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",104,0.36538461538461536,protocol_v2_A_030_044_02226_collision_orbit_right_64_seed41226_wrong_camera_motion_local,"{'raw_frame_start': 5, 'raw_frame_end': 80}",mask_file,True,0.36538461538461536,ok,True
15048,False,118560,21,60,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",104,0.12692307692307692,protocol_v2_A_031_046_04204_containment_orbit_left_44_seed43204_object_identity_change_local,"{'raw_frame_start': 5, 'raw_frame_end': 80}",mask_file,True,0.12692307692307692,ok,True
11088,False,118560,21,60,"[7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",104,0.09352226720647773,protocol_v2_A_032_048_04204_containment_orbit_left_44_seed43204_partial_freeze,"{'raw_frame_start': 27, 'raw_frame_end': 80}",mask_file,True,0.12692307692307692,ok,True
9460,False,118560,21,60,"[6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",104,0.07979082321187585,protocol_v2_A_033_049_04204_containment_orbit_left_44_seed43204_physical_event_local_failure,"{'raw_frame_start': 24, 'raw_frame_end': 62}",mask_file,True,0.1516025641025641,ok,True
43320,False,118560,21,60,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",104,0.36538461538461536,protocol_v2_A_034_050_04204_containment_orbit_left_44_seed43204_background_drift_local,"{'raw_frame_start': 5, 'raw_frame_end': 80}",mask_file,True,0.36538461538461536,ok,True
