affected_tokens_count,corruption_type,cuda_memory_allocated_gb,cuda_memory_reserved_gb,delta_policy,delta_ref,dpo_loss,full_future_tokens_count,grad_norm,implicit_accuracy,lambda_loser,latent_loss_indices,linear_utility,local_mask_ratio,loser_degradation,objective,objective_loss,pair_id,pair_type,pair_weight,policy_loser_energy,policy_trainable_params,policy_winner_energy,prediction_start_frame,prefix_len,ref_loser_energy,ref_winner_energy,reference_relative_margin,reference_trainable_params,reward_margin,same_noise,same_timestep,sigma,step,step_time_sec,timestep_index,u_clipped,u_raw,winner_anchor_weight,winner_contribution_ratio,winner_improvement
19,background_drift_local,35.11052370071411,88.01171875,0.004184052348136902,0.004184052348136902,0.6931471824645996,19,0.0035042416955598796,0.0,0.0,2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20,0.0,1.0,0.0,sdpo_anchor,0.702153742313385,protocol_v3_A_001_001_02200_collision_orbit_right_64_seed41200_background_drift_local,local_corruption,1.0,0.04021017998456955,6553600,0.03602612763643265,5,5,0.04021017998456955,0.03602612763643265,0.0,0,0.18,True,True,0.9929832220077515,1,192.82349824905396,66,0.0,0.0,0.25,0.0,0.0
19,wrong_camera_motion_local,35.11052370071411,88.01171875,0.013528421521186829,0.013439387083053589,0.6931427121162415,19,0.005982859694632791,1.0,1.0,2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20,8.903443813323975e-05,1.0,-0.0001805722713470459,sdpo_anchor,0.7135344743728638,protocol_v3_A_002_002_02200_collision_orbit_right_64_seed41200_wrong_camera_motion_local,local_corruption,1.0,0.09509548544883728,6553600,0.08156706392765045,5,5,0.09527605772018433,0.08183667063713074,8.903443813323975e-05,0,0.19999999999999998,True,True,0.9775158762931824,2,192.5567388534546,187,8.903443813323975e-05,8.903443813323975e-05,0.25,0.9999628663063049,0.00026960670948028564
19,object_deformation_local,35.11052370071411,88.01171875,0.00294671393930912,0.0026082247495651245,0.6931302547454834,19,0.0012053197652079353,1.0,1.0,2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20,0.00033848918974399567,1.0,0.0002287738025188446,sdpo_anchor,0.6976797580718994,protocol_v3_A_003_003_02200_collision_orbit_right_64_seed41200_object_deformation_local,local_corruption,1.0,0.02114470861852169,6553600,0.01819799467921257,5,5,0.020915934816002846,0.01830771006643772,0.00033848918974399567,0,0.22,True,True,0.9976513981819153,3,192.45161032676697,23,0.00033848918974399567,0.00033848918974399567,0.25,0.3241230249404907,0.00010971538722515106
19,object_identity_change_local,35.11052370071411,88.01171875,0.003711499273777008,0.003033500164747238,0.6931132674217224,19,0.009832761802971155,1.0,0.0,2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20,0.0006779991090297699,1.0,0.0008094459772109985,sdpo_anchor,0.6992716193199158,protocol_v3_A_004_004_02200_collision_orbit_right_64_seed41200_object_identity_change_local,local_corruption,1.0,0.0281828586012125,6553600,0.024471359327435493,5,5,0.027373412624001503,0.024339912459254265,0.0006779991090297699,0,0.24,True,True,0.9957429766654968,4,192.88135194778442,41,0.0006779991090297699,0.0006779991090297699,0.25,0.0,-0.00013144686818122864
19,partial_freeze,35.11052370071411,88.01171875,0.043195873498916626,0.04457962512969971,0.6932163834571838,19,0.028994540913250554,0.0,0.0,2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20,-0.001383751630783081,1.0,-0.0007573366165161133,sdpo_anchor,0.7269963026046753,protocol_v3_A_005_006_02200_collision_orbit_right_64_seed41200_partial_freeze,local_corruption,1.0,0.17846691608428955,6553600,0.13527104258537292,5,5,0.17922425270080566,0.13464462757110596,-0.001383751630783081,0,0.18,True,True,0.9544621706008911,5,192.54539895057678,323,-0.001383751630783081,-0.001383751630783081,0.25,0.0,-0.0006264150142669678
19,physical_event_local_failure,35.11052370071411,88.01171875,0.0027077943086624146,0.002783752977848053,0.6931509375572205,19,0.001191384785843451,0.0,0.0,2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20,-7.595866918563843e-05,1.0,-5.66430389881134e-05,sdpo_anchor,0.6976930499076843,protocol_v3_A_006_007_02200_collision_orbit_right_64_seed41200_physical_event_local_failure,local_corruption,1.0,0.020887767896056175,6553600,0.01817997358739376,5,5,0.02094441093504429,0.018160657957196236,-7.595866918563843e-05,0,0.19999999999999998,True,True,0.9964926242828369,6,193.1855981349945,34,-7.595866918563843e-05,-7.595866918563843e-05,0.25,0.0,-1.9315630197525024e-05
19,background_drift_local,35.11052370071411,88.01171875,0.002045237459242344,0.0019604405388236046,0.6931429505348206,19,0.0005559420868037871,1.0,1.0,2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20,8.479692041873932e-05,1.0,3.661215305328369e-05,sdpo_anchor,0.6954591274261475,protocol_v3_A_007_008_02200_collision_orbit_right_64_seed41200_background_drift_local,local_corruption,1.0,0.011309857480227947,6553600,0.009264620020985603,5,5,0.011273245327174664,0.009312804788351059,8.479692041873932e-05,0,0.22,True,True,0.9982735514640808,7,192.59057641029358,17,8.479692041873932e-05,8.479692041873932e-05,0.25,0.5681702494621277,4.818476736545563e-05
19,wrong_camera_motion_local,35.11052370071411,88.01171875,0.016642853617668152,0.01572909951210022,0.6931014657020569,19,0.007071706746524781,1.0,0.25,2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20,0.0009137541055679321,1.0,0.0006920099258422852,sdpo_anchor,0.7230454087257385,protocol_v3_A_008_009_02200_collision_orbit_right_64_seed41200_wrong_camera_motion_local,local_corruption,1.0,0.13631466031074524,6553600,0.11967180669307709,5,5,0.13562265038490295,0.11989355087280273,0.0009137541055679321,0,0.24,True,True,0.9648545980453491,8,192.71062421798706,267,0.0009137541055679321,0.0009137541055679321,0.25,0.2426711469888687,0.00022174417972564697
19,background_drift_local,35.11052370071411,88.01171875,0.0007746329065412283,0.0007634095381945372,0.6931465864181519,19,0.00021893232315229762,1.0,1.0,2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20,1.1223368346691132e-05,1.0,4.5890919864177704e-07,sdpo_anchor,0.6939213871955872,protocol_v3_A_001_001_02200_collision_orbit_right_64_seed41200_background_drift_local,local_corruption,1.0,0.003873927518725395,6553600,0.003099294612184167,5,5,0.0038734686095267534,0.0031100590713322163,1.1223368346691132e-05,0,0.18,True,True,0.999396800994873,9,192.5280475616455,6,1.1223368346691132e-05,1.1223368346691132e-05,0.25,0.9582574963569641,1.0764459148049355e-05
19,wrong_camera_motion_local,35.11052370071411,88.01171875,0.005577528849244118,0.005075292661786079,0.6931220889091492,19,0.0025647843858712547,1.0,1.0,2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20,0.0005022361874580383,1.0,0.0002856738865375519,sdpo_anchor,0.6974141001701355,protocol_v3_A_002_002_02200_collision_orbit_right_64_seed41200_wrong_camera_motion_local,local_corruption,1.0,0.02274560183286667,6553600,0.01716807298362255,5,5,0.022459927946329117,0.017384635284543037,0.0005022361874580383,0,0.19999999999999998,True,True,0.9957429766654968,10,193.1678318977356,41,0.0005022361874580383,0.0005022361874580383,0.25,0.43118754029273987,0.00021656230092048645
