checkpoint,sample_count,psnr,ssim,lpips,sharpness,temporal_blur_proxy,fvd_status,vbench_status,generated_manifest,contact_sheet
step000,1,12.43547521972535,0.6355002618279201,0.6226706504821777,274.6793280063558,0.03507275879383087,BLOCKED_BY_ENV,BLOCKED_BY_ENV,local_assets/dpo_smoke_v7/checkpoint_video_eval/step000_sample1/generated_manifest.jsonl,local_assets/dpo_smoke_v7/checkpoint_video_eval/step000_sample1/contact_sheets/v6b_GT_C_001_01014_drop_orbit_left_72_seed40014_dpo_smoke_v7_step000_prefix_future.jpg
step005,1,12.252150838434858,0.6162183861718935,0.6296263225376606,279.17887849167244,0.03511299565434456,BLOCKED_BY_ENV,BLOCKED_BY_ENV,local_assets/dpo_smoke_v7/checkpoint_video_eval/step005_sample1/generated_manifest.jsonl,local_assets/dpo_smoke_v7/checkpoint_video_eval/step005_sample1/contact_sheets/v6b_GT_C_001_01014_drop_orbit_left_72_seed40014_dpo_smoke_v7_step005_prefix_future.jpg
step010,1,12.877684981484093,0.6857258646790626,0.6207124553620815,266.33594067756263,0.03415296599268913,BLOCKED_BY_ENV,BLOCKED_BY_ENV,local_assets/dpo_smoke_v7/checkpoint_video_eval/step010_sample1/generated_manifest.jsonl,local_assets/dpo_smoke_v7/checkpoint_video_eval/step010_sample1/contact_sheets/v6b_GT_C_001_01014_drop_orbit_left_72_seed40014_dpo_smoke_v7_step010_prefix_future.jpg
step020,1,12.095197028403742,0.6141854462968596,0.650675006210804,272.95533008063546,0.03560860455036163,BLOCKED_BY_ENV,BLOCKED_BY_ENV,local_assets/dpo_smoke_v7/checkpoint_video_eval/step020_sample1/generated_manifest.jsonl,local_assets/dpo_smoke_v7/checkpoint_video_eval/step020_sample1/contact_sheets/v6b_GT_C_001_01014_drop_orbit_left_72_seed40014_dpo_smoke_v7_step020_prefix_future.jpg
