pair_id,backend,frame_indices,num_frames,winner_video,loser_video,winner_distance_to_reference,loser_distance_to_reference,vjepa_margin,token_relation_winner,token_relation_loser,token_relation_margin,status,error_reason,seconds
v11_SYN_0017_02215_collision_strafe_left_180_seed41215_background_drift_visible,vjepa2_1_vit_base_224_local_ema_encoder,"[5, 16, 26, 37, 48, 59, 69, 80]",8,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02215_collision_strafe_left_180_seed41215/video.mp4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/local_assets/dpo_utility_calibration_v14/blocker_retry/reconstructed_pairs_calibration4/v11_SYN_0017_02215_collision_strafe_left_180_seed41215_background_drift_visible/loser_full_prefix5_plus_future.mp4,0.0,0.0009226799011230469,0.0009226799011230469,0.0,0.03883502259850502,0.03883502259850502,ok,,19.903
v11_SYN_0035_02228_collision_orbit_right_64_seed41228_background_drift_visible,vjepa2_1_vit_base_224_local_ema_encoder,"[5, 16, 26, 37, 48, 59, 69, 80]",8,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02228_collision_orbit_right_64_seed41228/video.mp4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/local_assets/dpo_utility_calibration_v14/blocker_retry/reconstructed_pairs_calibration4/v11_SYN_0035_02228_collision_orbit_right_64_seed41228_background_drift_visible/loser_full_prefix5_plus_future.mp4,0.0,0.0011922121047973633,0.0011922121047973633,0.0,0.03821171447634697,0.03821171447634697,ok,,15.437
v11_SYN_0041_02239_collision_strafe_left_180_seed41239_background_drift_visible,vjepa2_1_vit_base_224_local_ema_encoder,"[5, 16, 26, 37, 48, 59, 69, 80]",8,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02239_collision_strafe_left_180_seed41239/video.mp4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/local_assets/dpo_utility_calibration_v14/blocker_retry/reconstructed_pairs_calibration4/v11_SYN_0041_02239_collision_strafe_left_180_seed41239_background_drift_visible/loser_full_prefix5_plus_future.mp4,0.0,0.001226663589477539,0.001226663589477539,0.0,0.04075528681278229,0.04075528681278229,ok,,14.926
v11_SYN_0047_02259_collision_strafe_left_180_seed41259_background_drift_visible,vjepa2_1_vit_base_224_local_ema_encoder,"[5, 16, 26, 37, 48, 59, 69, 80]",8,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02259_collision_strafe_left_180_seed41259/video.mp4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/local_assets/dpo_utility_calibration_v14/blocker_retry/reconstructed_pairs_calibration4/v11_SYN_0047_02259_collision_strafe_left_180_seed41259_background_drift_visible/loser_full_prefix5_plus_future.mp4,0.0,0.0008864402770996094,0.0008864402770996094,0.0,0.042214877903461456,0.042214877903461456,ok,,11.731
