subset,pair_id,backend,frame_indices,num_frames,winner_video,loser_video,winner_distance_to_reference,loser_distance_to_reference,vjepa_margin,token_relation_winner,token_relation_loser,token_relation_margin,status,error_reason,seconds
stratified100,v6b_GT_C_005_04209_containment_orbit_left_44_seed43209,vjepa2_1_vit_base_224_local_ema_encoder,,,,,,,,,,,error,FileNotFoundError: loser video missing: /home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/local_assets/targeted_BC_loser_mining_v6b/rollouts_16cond/M_C_camera_self_temporal_r4/videos/04209_containment_orbit_left_44_seed43209_M_C_camera_self_temporal_r4.mp4,0.0
stratified100,v6b_GT_C_009_01032_drop_orbit_left_72_seed40032,vjepa2_1_vit_base_224_local_ema_encoder,,,,,,,,,,,error,FileNotFoundError: loser video missing: /home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/local_assets/targeted_BC_loser_mining_v6b/rollouts_32cond/M_C_camera_self_temporal_r4/videos/01032_drop_orbit_left_72_seed40032_M_C_camera_self_temporal_r4.mp4,0.0
stratified100,v6b_GT_C_014_03437_roll_orbit_right_60_seed42437,vjepa2_1_vit_base_224_local_ema_encoder,,,,,,,,,,,error,FileNotFoundError: loser video missing: /home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/local_assets/targeted_BC_loser_mining_v6b/rollouts_32cond/M_C_camera_self_temporal_r4/videos/03437_roll_orbit_right_60_seed42437_M_C_camera_self_temporal_r4.mp4,0.0
stratified100,v11_SYN_0035_02228_collision_orbit_right_64_seed41228_background_drift_visible,vjepa2_1_vit_base_224_local_ema_encoder,"{""winner"": [5, 30, 55, 80], ""loser"": [0, 25, 50, 75], ""winner_kind"": ""full"", ""loser_kind"": ""future""}",4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02228_collision_orbit_right_64_seed41228/video.mp4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/local_assets/dpo_pair_factory_v11/synthetic_pairs/pairs/v11_SYN_0035_02228_collision_orbit_right_64_seed41228_background_drift_visible/loser_future.mp4,0.0,0.00047475099563598633,0.00047475099563598633,0.0,0.03027362748980522,0.03027362748980522,ok,,8.142
stratified100,v11_SYN_EXTRA_0009_02215_collision_strafe_left_180_seed41215_collision_response_failure_synthetic,vjepa2_1_vit_base_224_local_ema_encoder,"{""winner"": [5, 30, 55, 80], ""loser"": [0, 25, 50, 75], ""winner_kind"": ""full"", ""loser_kind"": ""future""}",4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/02215_collision_strafe_left_180_seed41215/video.mp4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/local_assets/dpo_pair_factory_v11/synthetic_pairs_extra/pairs/v11_SYN_EXTRA_0009_02215_collision_strafe_left_180_seed41215_collision_response_failure_synthetic/loser_future.mp4,0.0,0.0016438961029052734,0.0016438961029052734,0.0,0.03971290588378906,0.03971290588378906,ok,,6.965
stratified100,v11_SYN_EXTRA_0149_04209_containment_orbit_left_44_seed43209_containment_failure_synthetic,vjepa2_1_vit_base_224_local_ema_encoder,"{""winner"": [5, 30, 55, 80], ""loser"": [0, 25, 50, 75], ""winner_kind"": ""full"", ""loser_kind"": ""future""}",4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/04209_containment_orbit_left_44_seed43209/video.mp4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/local_assets/dpo_pair_factory_v11/synthetic_pairs_extra/pairs/v11_SYN_EXTRA_0149_04209_containment_orbit_left_44_seed43209_containment_failure_synthetic/loser_future.mp4,0.0,0.0007049441337585449,0.0007049441337585449,0.0,0.027047881856560707,0.027047881856560707,ok,,7.944
stratified100,v11_SYN_0385_01008_drop_orbit_left_72_seed40008_drop_motion_failure_synthetic,vjepa2_1_vit_base_224_local_ema_encoder,"{""winner"": [5, 30, 55, 80], ""loser"": [0, 25, 50, 75], ""winner_kind"": ""full"", ""loser_kind"": ""future""}",4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/01008_drop_orbit_left_72_seed40008/video.mp4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/local_assets/dpo_pair_factory_v11/synthetic_pairs/pairs/v11_SYN_0385_01008_drop_orbit_left_72_seed40008_drop_motion_failure_synthetic/loser_future.mp4,0.0,0.00033098459243774414,0.00033098459243774414,0.0,0.02472051978111267,0.02472051978111267,ok,,7.31
stratified100,v10_TypeM_071_01038_drop_orbit_left_72_seed40038_foreground_identity_color_shift,vjepa2_1_vit_base_224_local_ema_encoder,,,,,,,,,,,error,FileNotFoundError: loser video missing: /home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/local_assets/dpo_pair_factory_v10/synthetic_visible_negatives/pairs/v10_TypeM_071_01038_drop_orbit_left_72_seed40038_foreground_identity_color_shift/loser_full_prefix5_future.mp4,0.0
stratified100,v10_TypeM_070_01032_drop_orbit_left_72_seed40032_local_patch_drift,vjepa2_1_vit_base_224_local_ema_encoder,,,,,,,,,,,error,FileNotFoundError: loser video missing: /home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/local_assets/dpo_pair_factory_v10/synthetic_visible_negatives/pairs/v10_TypeM_070_01032_drop_orbit_left_72_seed40032_local_patch_drift/loser_full_prefix5_future.mp4,0.0
stratified100,v10_TypeM_069_01029_drop_orbit_left_72_seed40029_local_patch_freeze,vjepa2_1_vit_base_224_local_ema_encoder,,,,,,,,,,,error,FileNotFoundError: loser video missing: /home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/local_assets/dpo_pair_factory_v10/synthetic_visible_negatives/pairs/v10_TypeM_069_01029_drop_orbit_left_72_seed40029_local_patch_freeze/loser_full_prefix5_future.mp4,0.0
stratified100,v11_SYN_0393_01013_drop_orbit_left_72_seed40013_local_scene_patch_drift,vjepa2_1_vit_base_224_local_ema_encoder,"{""winner"": [5, 30, 55, 80], ""loser"": [0, 25, 50, 75], ""winner_kind"": ""full"", ""loser_kind"": ""future""}",4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys/local_assets/data/physion/generated_v5/converted_stage1_v1/01013_drop_orbit_left_72_seed40013/video.mp4,/home/nvme04/workspace/world_model_phys/PHYS/world_model_phys_stageA_v5_broad_lora_work/local_assets/dpo_pair_factory_v11/synthetic_pairs/pairs/v11_SYN_0393_01013_drop_orbit_left_72_seed40013_local_scene_patch_drift/loser_future.mp4,0.0,0.00029343366622924805,0.00029343366622924805,0.0,0.024942640215158463,0.024942640215158463,ok,,7.75
