blur_laplacian_mean,checkpoint,csgc_score_mean,freeze_rate_mean,model,psnr_mean,quality_proxy_mean,ssim_mean
317.2137793543607,existing_overnight,0.3273007170939349,0.0,original_fast,13.881747265596736,0.9039386165615104,0.6998172370500444
292.7781207104949,existing_overnight,0.3274458267764614,0.0,A_step050,13.561333567738497,0.8963071886411491,0.68476154232279
316.226938968079,existing_overnight,0.327055752762545,0.0,B_step050,13.406298968063377,0.9028203257401828,0.6706039068791911
315.7339943562048,existing_overnight,0.327763825222913,0.00078125,C_step050,13.830378944328812,0.9041985859405242,0.6938697686975368
342.3543306576878,existing_overnight,0.32747140908978895,0.0,D_step050,13.42964703723029,0.9117208423107517,0.6717676843176457
302.23874534424385,existing_overnight,0.32716139150579865,0.0,A_step100,13.481108486296643,0.9004412517948457,0.6840057491295854
306.69487374400046,existing_overnight,0.32707018630586016,0.0,B_step100,13.482999661497082,0.8995345738664289,0.6832270863751375
320.7984192765733,existing_overnight,0.32749093905046883,0.0,C_step100,13.962908363044228,0.907077465730478,0.6999576992300587
300.58815867700355,existing_overnight,0.3274896841015394,0.0,D_step100,13.833205618941916,0.9007508958266727,0.7016379776524555
,existing_overnight,,,A_step200,,,
,existing_overnight,,,B_step200,,,
317.65541246310113,existing_overnight,0.32713797818438484,0.0,C_step200,13.639055371331082,0.9053810109767579,0.6892015359774009
315.7965399410353,existing_overnight,0.32755396979112805,0.0,D_step200,13.608104506224368,0.9033906899150912,0.6830033817671068
