blur_laplacian_mean,csgc_score_mean,epipolar_median_sampson_mean,flicker_proxy_mean,freeze_rate_mean,model,quality_proxy_mean
292.7781207104949,0.3274458267764614,496.1618913126632,0.0034771584021516993,0.0,A_step050,0.8963071886411491
302.23874534424385,0.32716139150579865,498.31084832301224,0.0034685460968485364,0.0,A_step100,0.9004412517948457
316.226938968079,0.327055752762545,496.4266246102428,0.0034631354192012475,0.0,B_step050,0.9028203257401828
306.69487374400046,0.32707018630586016,506.3362563412718,0.003459732154313522,0.0,B_step100,0.8995345738664289
315.7339943562048,0.327763825222913,478.1582735382641,0.0034709842050377328,0.00078125,C_step050,0.9041985859405242
320.7984192765733,0.32749093905046883,481.7780001666697,0.0032886494705571404,0.0,C_step100,0.907077465730478
317.65541246310113,0.32713797818438484,498.06516073224884,0.0035027897079722794,0.0,C_step200,0.9053810109767579
342.3543306576878,0.32747140908978895,478.5644209508461,0.0036791562149890615,0.0,D_step050,0.9117208423107517
300.58815867700355,0.3274896841015394,480.62722232437255,0.003414191258481786,0.0,D_step100,0.9007508958266727
315.7965399410353,0.32755396979112805,485.1064041368324,0.003525187556124941,0.0,D_step200,0.9033906899150912
1167.9368282052433,0.3256844261036417,579.127434418133,0.00014919280722925932,0.0,GT,0.9966132936766556
317.2137793543607,0.3273007170939349,490.608635397595,0.003631384760329995,0.0,original_fast,0.9039386165615104
