blur_laplacian_mean,lpips_status,model,psnr_mean,quality_proxy_mean,ssim_mean
292.7781207104949,BLOCKED_IN_EXISTING_OVERNIGHT_SUMMARY,A_step050,13.561333567738497,0.8963071886411491,0.68476154232279
302.23874534424385,BLOCKED_IN_EXISTING_OVERNIGHT_SUMMARY,A_step100,13.481108486296643,0.9004412517948457,0.6840057491295854
316.226938968079,BLOCKED_IN_EXISTING_OVERNIGHT_SUMMARY,B_step050,13.406298968063377,0.9028203257401828,0.6706039068791911
306.69487374400046,BLOCKED_IN_EXISTING_OVERNIGHT_SUMMARY,B_step100,13.482999661497082,0.8995345738664289,0.6832270863751375
315.7339943562048,BLOCKED_IN_EXISTING_OVERNIGHT_SUMMARY,C_step050,13.830378944328812,0.9041985859405242,0.6938697686975368
320.7984192765733,BLOCKED_IN_EXISTING_OVERNIGHT_SUMMARY,C_step100,13.962908363044228,0.907077465730478,0.6999576992300587
317.65541246310113,BLOCKED_IN_EXISTING_OVERNIGHT_SUMMARY,C_step200,13.639055371331082,0.9053810109767579,0.6892015359774009
342.3543306576878,BLOCKED_IN_EXISTING_OVERNIGHT_SUMMARY,D_step050,13.42964703723029,0.9117208423107517,0.6717676843176457
300.58815867700355,BLOCKED_IN_EXISTING_OVERNIGHT_SUMMARY,D_step100,13.833205618941916,0.9007508958266727,0.7016379776524555
315.7965399410353,BLOCKED_IN_EXISTING_OVERNIGHT_SUMMARY,D_step200,13.608104506224368,0.9033906899150912,0.6830033817671068
1167.9368282052433,BLOCKED_IN_EXISTING_OVERNIGHT_SUMMARY,GT,99.0,0.9966132936766556,1.0
317.2137793543607,BLOCKED_IN_EXISTING_OVERNIGHT_SUMMARY,original_fast,13.881747265596736,0.9039386165615104,0.6998172370500444
