base_pair_id,candidate_pair_id,pair_type,corruption_type,severity,strength,reward_winner,reward_loser,reward_margin,sharpness_ratio,psnr_future,ssim_future_proxy,lpips_future,fvd,vbench,hardness,medium_hard,reasons,subreward_alignment,written_reason,margin_bg,margin_cam,margin_fg,margin_phys,margin_reobs,margin_quality,margin_freeze,margin_blur
protocol_v3_A_003_003_02200_collision_orbit_right_64_seed41200_object_deformation_local,protocol_v4_TypeAplus_003_s3_strong_object_deformation_local,TypeA_plus,object_deformation_local,s3_strong,1.1,1.0,0.8968676461192909,0.10313235388070907,0.9517091451071721,48.25287063258528,0.9998636564037915,BLOCKED_NOT_RUN_FOR_SWEEP,BLOCKED_BY_ENV,BLOCKED_BY_ENV,TOO_SUBTLE,False,reward_margin_lt_min,PASS,object_deformation_local severity s3_strong: rejected by TOO_SUBTLE.,0.030000000000000027,0.030000000000000027,0.3740000000000001,0.030000000000000027,0.030000000000000027,0.07699999999999996,0.0,0.04829085489282792
protocol_v3_A_003_003_02200_collision_orbit_right_64_seed41200_object_deformation_local,protocol_v4_TypeAplus_003_s4_strong_pass_object_deformation_local,TypeA_plus,object_deformation_local,s4_strong_pass,1.65,1.0,0.8588653042215277,0.14113469577847226,0.9495850234529319,47.92670093103418,0.9998529129968377,BLOCKED_NOT_RUN_FOR_SWEEP,BLOCKED_BY_ENV,BLOCKED_BY_ENV,MEDIUM_HARD,True,passes_medium_hard_gate,PASS,object_deformation_local severity s4_strong_pass: clean GT winner is preferred; loser remains clear and local.,0.030000000000000027,0.030000000000000027,0.561,0.030000000000000027,0.030000000000000027,0.11550000000000005,0.0,0.05041497654706806
protocol_v3_A_004_004_02200_collision_orbit_right_64_seed41200_object_identity_change_local,protocol_v4_TypeAplus_004_s1_weak_object_identity_change_local,TypeA_plus,object_identity_change_local,s1_weak,0.55,1.0,0.9410287707976496,0.05897122920235043,0.9897153933202759,42.074216792841284,0.9998911518271887,BLOCKED_NOT_RUN_FOR_SWEEP,BLOCKED_BY_ENV,BLOCKED_BY_ENV,TOO_SUBTLE,False,reward_margin_lt_min,PASS,object_identity_change_local severity s1_weak: rejected by TOO_SUBTLE.,0.030000000000000027,0.030000000000000027,0.18700000000000006,0.030000000000000027,0.030000000000000027,0.040000000000000036,0.0,0.010284606679724084
protocol_v3_A_004_004_02200_collision_orbit_right_64_seed41200_object_identity_change_local,protocol_v4_TypeAplus_004_s2_medium_object_identity_change_local,TypeA_plus,object_identity_change_local,s2_medium,0.85,1.0,0.9207982533020802,0.0792017466979198,0.989656962789334,38.637188099892015,0.9998413311175272,BLOCKED_NOT_RUN_FOR_SWEEP,BLOCKED_BY_ENV,BLOCKED_BY_ENV,TOO_SUBTLE,False,reward_margin_lt_min,PASS,object_identity_change_local severity s2_medium: rejected by TOO_SUBTLE.,0.030000000000000027,0.030000000000000027,0.28900000000000003,0.030000000000000027,0.030000000000000027,0.0595,0.0,0.010343037210665984
protocol_v3_A_004_004_02200_collision_orbit_right_64_seed41200_object_identity_change_local,protocol_v4_TypeAplus_004_s3_strong_object_identity_change_local,TypeA_plus,object_identity_change_local,s3_strong,1.1,1.0,0.9036477843215573,0.09635221567844265,0.9893765795642082,36.52286155406976,0.9997919564564306,BLOCKED_NOT_RUN_FOR_SWEEP,BLOCKED_BY_ENV,BLOCKED_BY_ENV,TOO_SUBTLE,False,reward_margin_lt_min,PASS,object_identity_change_local severity s3_strong: rejected by TOO_SUBTLE.,0.030000000000000027,0.030000000000000027,0.3740000000000001,0.030000000000000027,0.030000000000000027,0.07699999999999996,0.0,0.010623420435791786
protocol_v3_A_004_004_02200_collision_orbit_right_64_seed41200_object_identity_change_local,protocol_v4_TypeAplus_004_s4_strong_pass_object_identity_change_local,TypeA_plus,object_identity_change_local,s4_strong_pass,1.65,1.0,0.8657593538374849,0.13424064616251508,0.987885299097139,33.12386207851711,0.9996333737701998,BLOCKED_NOT_RUN_FOR_SWEEP,BLOCKED_BY_ENV,BLOCKED_BY_ENV,MEDIUM_HARD,True,passes_medium_hard_gate,PASS,object_identity_change_local severity s4_strong_pass: clean GT winner is preferred; loser remains clear and local.,0.030000000000000027,0.030000000000000027,0.561,0.030000000000000027,0.030000000000000027,0.11550000000000005,0.0,0.012114700902861042
protocol_v3_A_005_006_02200_collision_orbit_right_64_seed41200_partial_freeze,protocol_v4_TypeAplus_005_s1_weak_partial_freeze,TypeA_plus,partial_freeze,s1_weak,0.55,1.0,0.9368424787668554,0.06315752123314455,0.9766804375936412,57.12134042180712,0.9989080140109989,BLOCKED_NOT_RUN_FOR_SWEEP,BLOCKED_BY_ENV,BLOCKED_BY_ENV,TOO_SUBTLE,False,reward_margin_lt_min,PASS,partial_freeze severity s1_weak: rejected by TOO_SUBTLE.,0.030000000000000027,0.030000000000000027,0.030000000000000027,0.08799999999999997,0.030000000000000027,0.050000000000000044,0.12100000000000001,0.023319562406358796
protocol_v3_A_005_006_02200_collision_orbit_right_64_seed41200_partial_freeze,protocol_v4_TypeAplus_005_s2_medium_partial_freeze,TypeA_plus,partial_freeze,s2_medium,0.85,1.0,0.9204239306457719,0.07957606935422812,0.9774662813653997,56.392417181845765,0.9986117844359765,BLOCKED_NOT_RUN_FOR_SWEEP,BLOCKED_BY_ENV,BLOCKED_BY_ENV,TOO_SUBTLE,False,reward_margin_lt_min,PASS,partial_freeze severity s2_medium: rejected by TOO_SUBTLE.,0.030000000000000027,0.030000000000000027,0.030000000000000027,0.136,0.030000000000000027,0.050000000000000044,0.187,0.022533718634600297
protocol_v3_A_005_006_02200_collision_orbit_right_64_seed41200_partial_freeze,protocol_v4_TypeAplus_005_s3_strong_partial_freeze,TypeA_plus,partial_freeze,s3_strong,1.1,1.0,0.9067771373726781,0.09322286262732193,0.9783174298482108,55.92859370690323,0.9983713637645967,BLOCKED_NOT_RUN_FOR_SWEEP,BLOCKED_BY_ENV,BLOCKED_BY_ENV,TOO_SUBTLE,False,reward_margin_lt_min,PASS,partial_freeze severity s3_strong: rejected by TOO_SUBTLE.,0.030000000000000027,0.030000000000000027,0.030000000000000027,0.17600000000000005,0.030000000000000027,0.050000000000000044,0.24200000000000002,0.021682570151789204
protocol_v3_A_005_006_02200_collision_orbit_right_64_seed41200_partial_freeze,protocol_v4_TypeAplus_005_s4_strong_pass_partial_freeze,TypeA_plus,partial_freeze,s4_strong_pass,1.65,1.0,0.877420630185254,0.12257936981474604,0.9838923899180775,54.94073901425905,0.9977316104181049,BLOCKED_NOT_RUN_FOR_SWEEP,BLOCKED_BY_ENV,BLOCKED_BY_ENV,MEDIUM_HARD,True,passes_medium_hard_gate,PASS,partial_freeze severity s4_strong_pass: clean GT winner is preferred; loser remains clear and local.,0.030000000000000027,0.030000000000000027,0.030000000000000027,0.264,0.030000000000000027,0.050000000000000044,0.363,0.01610761008192252
protocol_v3_A_006_007_02200_collision_orbit_right_64_seed41200_physical_event_local_failure,protocol_v4_TypeAplus_006_s1_weak_physical_event_local_failure,TypeA_plus,physical_event_local_failure,s1_weak,0.55,1.0,0.9247768424182742,0.07522315758172582,0.9795380134348559,68.54463056549889,0.9993163971406449,BLOCKED_NOT_RUN_FOR_SWEEP,BLOCKED_BY_ENV,BLOCKED_BY_ENV,TOO_SUBTLE,False,reward_margin_lt_min,PASS,physical_event_local_failure severity s1_weak: rejected by TOO_SUBTLE.,0.030000000000000027,0.030000000000000027,0.08799999999999997,0.18700000000000006,0.030000000000000027,0.050000000000000044,0.0,0.020461986565144086
protocol_v3_A_006_007_02200_collision_orbit_right_64_seed41200_physical_event_local_failure,protocol_v4_TypeAplus_006_s2_medium_physical_event_local_failure,TypeA_plus,physical_event_local_failure,s2_medium,0.85,1.0,0.898765226532877,0.10123477346712295,0.9796957029604282,68.42227824440857,0.9992777627537999,BLOCKED_NOT_RUN_FOR_SWEEP,BLOCKED_BY_ENV,BLOCKED_BY_ENV,TOO_SUBTLE,False,reward_margin_lt_min,PASS,physical_event_local_failure severity s2_medium: rejected by TOO_SUBTLE.,0.030000000000000027,0.030000000000000027,0.136,0.28900000000000003,0.030000000000000027,0.050000000000000044,0.0,0.020304297039571817
protocol_v3_A_006_007_02200_collision_orbit_right_64_seed41200_physical_event_local_failure,protocol_v4_TypeAplus_006_s3_strong_physical_event_local_failure,TypeA_plus,physical_event_local_failure,s3_strong,1.1,1.0,0.877072547534695,0.12292745246530501,0.9797363751927505,68.38323629305962,0.9992650212579619,BLOCKED_NOT_RUN_FOR_SWEEP,BLOCKED_BY_ENV,BLOCKED_BY_ENV,MEDIUM_HARD,True,passes_medium_hard_gate,PASS,physical_event_local_failure severity s3_strong: clean GT winner is preferred; loser remains clear and local.,0.030000000000000027,0.030000000000000027,0.17600000000000005,0.3740000000000001,0.030000000000000027,0.050000000000000044,0.0,0.020263624807249525
protocol_v3_A_006_007_02200_collision_orbit_right_64_seed41200_physical_event_local_failure,protocol_v4_TypeAplus_006_s4_strong_pass_physical_event_local_failure,TypeA_plus,physical_event_local_failure,s4_strong_pass,1.65,1.0,0.8293631438854429,0.17063685611455714,0.9799063549191268,68.30095964467117,0.9992378625214635,BLOCKED_NOT_RUN_FOR_SWEEP,BLOCKED_BY_ENV,BLOCKED_BY_ENV,MEDIUM_HARD,True,passes_medium_hard_gate,PASS,physical_event_local_failure severity s4_strong_pass: clean GT winner is preferred; loser remains clear and local.,0.030000000000000027,0.030000000000000027,0.264,0.561,0.030000000000000027,0.050000000000000044,0.0,0.02009364508087319
