pair_id,pair_type,corruption_type,severity,reward_margin,sharpness_ratio,psnr_future,ssim_future_proxy,lpips_future,fvd,vbench,medium_hard,sharpness_gate_pass,quality_floor_pass,valid_preference,written_reason
protocol_v4_TypeAplus_001_s4_strong_pass_background_drift_local,TypeA_plus,background_drift_local,s4_strong_pass,0.1753400128838799,0.8947777062006667,29.535685004061435,0.9897118489368695,BLOCKED_NOT_RUN_FOR_SWEEP,BLOCKED_BY_ENV,BLOCKED_BY_ENV,True,True,True,True,TypeA+ background_drift_local uses stronger local severity s4_strong_pass; loser is still sharp and locally wrong.
protocol_v4_TypeAplus_002_s4_strong_pass_wrong_camera_motion_local,TypeA_plus,wrong_camera_motion_local,s4_strong_pass,0.17486771921473943,0.8974015599181139,29.10729884489514,0.9884492230494352,BLOCKED_NOT_RUN_FOR_SWEEP,BLOCKED_BY_ENV,BLOCKED_BY_ENV,True,True,True,True,TypeA+ wrong_camera_motion_local uses stronger local severity s4_strong_pass; loser is still sharp and locally wrong.
protocol_v4_TypeAplus_003_s4_strong_pass_object_deformation_local,TypeA_plus,object_deformation_local,s4_strong_pass,0.14113469577847226,0.9495850234529319,47.92670093103418,0.9998529129968377,BLOCKED_NOT_RUN_FOR_SWEEP,BLOCKED_BY_ENV,BLOCKED_BY_ENV,True,True,True,True,TypeA+ object_deformation_local uses stronger local severity s4_strong_pass; loser is still sharp and locally wrong.
protocol_v4_TypeAplus_004_s4_strong_pass_object_identity_change_local,TypeA_plus,object_identity_change_local,s4_strong_pass,0.13424064616251508,0.987885299097139,33.12386207851711,0.9996333737701998,BLOCKED_NOT_RUN_FOR_SWEEP,BLOCKED_BY_ENV,BLOCKED_BY_ENV,True,True,True,True,TypeA+ object_identity_change_local uses stronger local severity s4_strong_pass; loser is still sharp and locally wrong.
protocol_v4_TypeAplus_005_s4_strong_pass_partial_freeze,TypeA_plus,partial_freeze,s4_strong_pass,0.12257936981474604,0.9838923899180775,54.94073901425905,0.9977316104181049,BLOCKED_NOT_RUN_FOR_SWEEP,BLOCKED_BY_ENV,BLOCKED_BY_ENV,True,True,True,True,TypeA+ partial_freeze uses stronger local severity s4_strong_pass; loser is still sharp and locally wrong.
protocol_v4_TypeAplus_006_s4_strong_pass_physical_event_local_failure,TypeA_plus,physical_event_local_failure,s4_strong_pass,0.17063685611455714,0.9799063549191268,68.30095964467117,0.9992378625214635,BLOCKED_NOT_RUN_FOR_SWEEP,BLOCKED_BY_ENV,BLOCKED_BY_ENV,True,True,True,True,TypeA+ physical_event_local_failure uses stronger local severity s4_strong_pass; loser is still sharp and locally wrong.
protocol_v4_TypeAplus_007_s4_strong_pass_background_drift_local,TypeA_plus,background_drift_local,s4_strong_pass,0.1753400128838799,0.8947777062006667,29.535685004061435,0.9897118489368695,BLOCKED_NOT_RUN_FOR_SWEEP,BLOCKED_BY_ENV,BLOCKED_BY_ENV,True,True,True,True,TypeA+ background_drift_local uses stronger local severity s4_strong_pass; loser is still sharp and locally wrong.
protocol_v4_TypeAplus_008_s4_strong_pass_wrong_camera_motion_local,TypeA_plus,wrong_camera_motion_local,s4_strong_pass,0.17486771921473943,0.8974015599181139,29.10729884489514,0.9884492230494352,BLOCKED_NOT_RUN_FOR_SWEEP,BLOCKED_BY_ENV,BLOCKED_BY_ENV,True,True,True,True,TypeA+ wrong_camera_motion_local uses stronger local severity s4_strong_pass; loser is still sharp and locally wrong.
protocol_v4_TypeAplus_009_s4_strong_pass_object_deformation_local,TypeA_plus,object_deformation_local,s4_strong_pass,0.14113469577847226,0.9495850234529319,47.92670093103418,0.9998529129968377,BLOCKED_NOT_RUN_FOR_SWEEP,BLOCKED_BY_ENV,BLOCKED_BY_ENV,True,True,True,True,TypeA+ object_deformation_local uses stronger local severity s4_strong_pass; loser is still sharp and locally wrong.
protocol_v4_TypeAplus_010_s4_strong_pass_object_identity_change_local,TypeA_plus,object_identity_change_local,s4_strong_pass,0.13424064616251508,0.987885299097139,33.12386207851711,0.9996333737701998,BLOCKED_NOT_RUN_FOR_SWEEP,BLOCKED_BY_ENV,BLOCKED_BY_ENV,True,True,True,True,TypeA+ object_identity_change_local uses stronger local severity s4_strong_pass; loser is still sharp and locally wrong.
protocol_v4_TypeAplus_011_s4_strong_pass_partial_freeze,TypeA_plus,partial_freeze,s4_strong_pass,0.1256229000032768,0.9669838888706844,52.91751803630937,0.9925302037519267,BLOCKED_NOT_RUN_FOR_SWEEP,BLOCKED_BY_ENV,BLOCKED_BY_ENV,True,True,True,True,TypeA+ partial_freeze uses stronger local severity s4_strong_pass; loser is still sharp and locally wrong.
protocol_v4_TypeAplus_012_s4_strong_pass_physical_event_local_failure,TypeA_plus,physical_event_local_failure,s4_strong_pass,0.17316872677609074,0.9658404067994956,66.52155563106155,0.996369214024234,BLOCKED_NOT_RUN_FOR_SWEEP,BLOCKED_BY_ENV,BLOCKED_BY_ENV,True,True,True,True,TypeA+ physical_event_local_failure uses stronger local severity s4_strong_pass; loser is still sharp and locally wrong.
protocol_v4_TypeAplus_013_s4_strong_pass_background_drift_local,TypeA_plus,background_drift_local,s4_strong_pass,0.17322374232519955,0.9065347648600016,29.848407298655026,0.9806232200727385,BLOCKED_NOT_RUN_FOR_SWEEP,BLOCKED_BY_ENV,BLOCKED_BY_ENV,True,True,True,True,TypeA+ background_drift_local uses stronger local severity s4_strong_pass; loser is still sharp and locally wrong.
protocol_v4_TypeAplus_014_s4_strong_pass_object_identity_change_local,TypeA_plus,object_identity_change_local,s4_strong_pass,0.13709415786857038,0.9720324562857204,33.647927286110836,0.9992939129059981,BLOCKED_NOT_RUN_FOR_SWEEP,BLOCKED_BY_ENV,BLOCKED_BY_ENV,True,True,True,True,TypeA+ object_identity_change_local uses stronger local severity s4_strong_pass; loser is still sharp and locally wrong.
protocol_v4_TypeAplus_015_s4_strong_pass_background_drift_local,TypeA_plus,background_drift_local,s4_strong_pass,0.17322374232519955,0.9065347648600016,29.848407298655026,0.9806232200727385,BLOCKED_NOT_RUN_FOR_SWEEP,BLOCKED_BY_ENV,BLOCKED_BY_ENV,True,True,True,True,TypeA+ background_drift_local uses stronger local severity s4_strong_pass; loser is still sharp and locally wrong.
protocol_v4_TypeAplus_016_s4_strong_pass_wrong_camera_motion_local,TypeA_plus,wrong_camera_motion_local,s4_strong_pass,0.17371143709255554,0.9038253494858021,29.56603046986507,0.9890526708458687,BLOCKED_NOT_RUN_FOR_SWEEP,BLOCKED_BY_ENV,BLOCKED_BY_ENV,True,True,True,True,TypeA+ wrong_camera_motion_local uses stronger local severity s4_strong_pass; loser is still sharp and locally wrong.
protocol_v4_TypeAplus_017_s4_strong_pass_partial_freeze,TypeA_plus,partial_freeze,s4_strong_pass,0.12601648493694018,0.9647973059058882,53.42774023097502,0.9947995178781911,BLOCKED_NOT_RUN_FOR_SWEEP,BLOCKED_BY_ENV,BLOCKED_BY_ENV,True,True,True,True,TypeA+ partial_freeze uses stronger local severity s4_strong_pass; loser is still sharp and locally wrong.
protocol_v4_TypeAplus_018_s4_strong_pass_physical_event_local_failure,TypeA_plus,physical_event_local_failure,s4_strong_pass,0.17033380579815904,0.9815899677880052,64.8082005024014,0.9953580753500358,BLOCKED_NOT_RUN_FOR_SWEEP,BLOCKED_BY_ENV,BLOCKED_BY_ENV,True,True,True,True,TypeA+ physical_event_local_failure uses stronger local severity s4_strong_pass; loser is still sharp and locally wrong.
protocol_v4_TypeAplus_019_s4_strong_pass_background_drift_local,TypeA_plus,background_drift_local,s4_strong_pass,0.17332475907709188,0.9059735606828222,30.060295764829455,0.9900065908455591,BLOCKED_NOT_RUN_FOR_SWEEP,BLOCKED_BY_ENV,BLOCKED_BY_ENV,True,True,True,True,TypeA+ background_drift_local uses stronger local severity s4_strong_pass; loser is still sharp and locally wrong.
protocol_v4_TypeAplus_020_s4_strong_pass_wrong_camera_motion_local,TypeA_plus,wrong_camera_motion_local,s4_strong_pass,0.17371143709255554,0.9038253494858021,29.56603046986507,0.9890526708458687,BLOCKED_NOT_RUN_FOR_SWEEP,BLOCKED_BY_ENV,BLOCKED_BY_ENV,True,True,True,True,TypeA+ wrong_camera_motion_local uses stronger local severity s4_strong_pass; loser is still sharp and locally wrong.
