metric,threshold,tp,fp,tn,fn,tpr,fpr,precision,recall,balanced_accuracy,f1
token_relation_margin,0.05159546434879303,6,2,0,0,1.0,1.0,0.75,1.0,0.5,0.8571428571428571
token_relation_margin,0.05184860900044441,5,2,0,1,0.8333333333333334,1.0,0.7142857142857143,0.8333333333333334,0.4166666666666667,0.7692307692307692
token_relation_margin,0.052101753652095795,5,2,0,1,0.8333333333333334,1.0,0.7142857142857143,0.8333333333333334,0.4166666666666667,0.7692307692307692
token_relation_margin,0.05313241295516491,4,2,0,2,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666
token_relation_margin,0.054163072258234024,4,2,0,2,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666
token_relation_margin,0.05604730546474457,4,1,1,2,0.6666666666666666,0.5,0.8,0.6666666666666666,0.5833333333333333,0.7272727272727272
token_relation_margin,0.05793153867125511,4,1,1,2,0.6666666666666666,0.5,0.8,0.6666666666666666,0.5833333333333333,0.7272727272727272
token_relation_margin,0.059193359687924385,3,1,1,3,0.5,0.5,0.75,0.5,0.5,0.6
token_relation_margin,0.06045518070459366,3,1,1,3,0.5,0.5,0.75,0.5,0.5,0.6
token_relation_margin,0.06679430603981018,3,0,2,3,0.5,0.0,1.0,0.5,0.75,0.6666666666666666
token_relation_margin,0.0731334313750267,3,0,2,3,0.5,0.0,1.0,0.5,0.75,0.6666666666666666
token_relation_margin,0.07900995761156082,2,0,2,4,0.3333333333333333,0.0,1.0,0.3333333333333333,0.6666666666666666,0.5
token_relation_margin,0.08488648384809494,2,0,2,4,0.3333333333333333,0.0,1.0,0.3333333333333333,0.6666666666666666,0.5
token_relation_margin,0.09060068428516388,1,0,2,5,0.16666666666666666,0.0,1.0,0.16666666666666666,0.5833333333333334,0.2857142857142857
token_relation_margin,0.09631488472223282,1,0,2,5,0.16666666666666666,0.0,1.0,0.16666666666666666,0.5833333333333334,0.2857142857142857
vjepa_margin,0.0014584064483642578,6,2,0,0,1.0,1.0,0.75,1.0,0.5,0.8571428571428571
vjepa_margin,0.001524418592453003,5,2,0,1,0.8333333333333334,1.0,0.7142857142857143,0.8333333333333334,0.4166666666666667,0.7692307692307692
vjepa_margin,0.001590430736541748,5,2,0,1,0.8333333333333334,1.0,0.7142857142857143,0.8333333333333334,0.4166666666666667,0.7692307692307692
vjepa_margin,0.0017494559288024902,5,1,1,1,0.8333333333333334,0.5,0.8333333333333334,0.8333333333333334,0.6666666666666667,0.8333333333333334
vjepa_margin,0.0019084811210632324,5,1,1,1,0.8333333333333334,0.5,0.8333333333333334,0.8333333333333334,0.6666666666666667,0.8333333333333334
vjepa_margin,0.002072155475616455,4,1,1,2,0.6666666666666666,0.5,0.8,0.6666666666666666,0.5833333333333333,0.7272727272727272
vjepa_margin,0.0022358298301696777,4,1,1,2,0.6666666666666666,0.5,0.8,0.6666666666666666,0.5833333333333333,0.7272727272727272
vjepa_margin,0.0026774704456329346,3,1,1,3,0.5,0.5,0.75,0.5,0.5,0.6
vjepa_margin,0.0031191110610961914,3,1,1,3,0.5,0.5,0.75,0.5,0.5,0.6
vjepa_margin,0.00322762131690979,3,0,2,3,0.5,0.0,1.0,0.5,0.75,0.6666666666666666
vjepa_margin,0.0033361315727233887,3,0,2,3,0.5,0.0,1.0,0.5,0.75,0.6666666666666666
vjepa_margin,0.004695147275924683,2,0,2,4,0.3333333333333333,0.0,1.0,0.3333333333333333,0.6666666666666666,0.5
vjepa_margin,0.0060541629791259766,2,0,2,4,0.3333333333333333,0.0,1.0,0.3333333333333333,0.6666666666666666,0.5
vjepa_margin,0.006645798683166504,1,0,2,5,0.16666666666666666,0.0,1.0,0.16666666666666666,0.5833333333333334,0.2857142857142857
vjepa_margin,0.007237434387207031,1,0,2,5,0.16666666666666666,0.0,1.0,0.16666666666666666,0.5833333333333334,0.2857142857142857
