requested_bin,sample_idx,target_sigma,timestep_index,timestep,actual_sigma,scheduler_name,sigma_min,sigma_max,bin_low,bin_high,status
high,4,0.75625,244,755.0,0.7557557557557557,fallback_linear_sigma_1_to_0,0.0,1.0,0.7,0.95,PASS
high,5,0.76875,231,768.0,0.7687687687687688,fallback_linear_sigma_1_to_0,0.0,1.0,0.7,0.95,PASS
high,6,0.78125,219,780.0,0.7807807807807807,fallback_linear_sigma_1_to_0,0.0,1.0,0.7,0.95,PASS
high,7,0.79375,206,793.0,0.7937937937937938,fallback_linear_sigma_1_to_0,0.0,1.0,0.7,0.95,PASS
high,8,0.80625,194,805.0,0.8058058058058057,fallback_linear_sigma_1_to_0,0.0,1.0,0.7,0.95,PASS
high,9,0.81875,181,818.0,0.8188188188188188,fallback_linear_sigma_1_to_0,0.0,1.0,0.7,0.95,PASS
high,10,0.83125,169,830.0,0.8308308308308309,fallback_linear_sigma_1_to_0,0.0,1.0,0.7,0.95,PASS
high,11,0.84375,156,843.0,0.8438438438438438,fallback_linear_sigma_1_to_0,0.0,1.0,0.7,0.95,PASS
high,12,0.85625,144,855.0,0.8558558558558559,fallback_linear_sigma_1_to_0,0.0,1.0,0.7,0.95,PASS
high,13,0.86875,131,868.0,0.8688688688688688,fallback_linear_sigma_1_to_0,0.0,1.0,0.7,0.95,PASS
high,14,0.88125,119,880.0,0.8808808808808809,fallback_linear_sigma_1_to_0,0.0,1.0,0.7,0.95,PASS
high,15,0.89375,106,893.0,0.8938938938938938,fallback_linear_sigma_1_to_0,0.0,1.0,0.7,0.95,PASS
high,16,0.90625,94,905.0,0.9059059059059059,fallback_linear_sigma_1_to_0,0.0,1.0,0.7,0.95,PASS
high,17,0.91875,81,918.0,0.9189189189189189,fallback_linear_sigma_1_to_0,0.0,1.0,0.7,0.95,PASS
high,18,0.93125,69,930.0,0.9309309309309309,fallback_linear_sigma_1_to_0,0.0,1.0,0.7,0.95,PASS
high,19,0.94375,56,943.0,0.943943943943944,fallback_linear_sigma_1_to_0,0.0,1.0,0.7,0.95,PASS
